Ekarat Engineering PCL | Ratios - Key Metrics                                25-Sep-2024 16:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 ,,2005 ,,,,2006 ,,,,2007 ,,,,2008 ,,,,2009 ,,,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
,Industry Median,Jun-2004 ,Dec-2004 ,Mar-2005 ,Jun-2005 ,Sep-2005 ,Dec-2005 ,Mar-2006 ,Jun-2006 ,Sep-2006 ,Dec-2006 ,Mar-2007 ,Jun-2007 ,Sep-2007 ,Dec-2007 ,Mar-2008 ,Jun-2008 ,Sep-2008 ,Dec-2008 ,Mar-2009 ,Jun-2009 ,Sep-2009 ,Dec-2009 ,Mar-2010 ,Jun-2010 ,Sep-2010 ,Dec-2010 ,Mar-2011 ,Jun-2011 ,Sep-2011 ,Dec-2011 ,Mar-2012 ,Jun-2012 ,Sep-2012 ,Dec-2012 ,Mar-2013 ,Jun-2013 ,Sep-2013 ,Dec-2013 ,Mar-2014 ,Jun-2014 ,Sep-2014 ,Dec-2014 ,Mar-2015 ,Jun-2015 ,Sep-2015 ,Dec-2015 ,Mar-2016 ,Jun-2016 ,Sep-2016 ,Dec-2016 ,Mar-2017 ,Jun-2017 ,Sep-2017 ,Dec-2017 ,Mar-2018 ,Jun-2018 ,Sep-2018 ,Dec-2018 ,Mar-2019 ,Jun-2019 ,Sep-2019 ,Dec-2019 ,Mar-2020 ,Jun-2020 ,Sep-2020 ,Dec-2020 ,Mar-2021 ,Jun-2021 ,Sep-2021 ,Dec-2021 ,Mar-2022 ,Jun-2022 ,Sep-2022 ,Dec-2022 ,Mar-2023 ,Jun-2023 ,Sep-2023 ,Dec-2023 ,Mar-2024 ,Jun-2024 
Earnings Quality Score,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,65,89,91,85,79,23,26,38,19,22,N/A,6,34,40,48,79,28,50,64,31,51,46,28,59,50,51,77,68,32,7,3,9,12,72,44,44,75,86,80,81
Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,28.5% ,48.5%,35.8%,17.5%,31.5%,30.5%,22.0%,19.5%,25.1%,31.5%,28.5%,25.3%,25.7%,29.0%,17.1%,18.7%,13.7%,18.1%,17.7%,25.1%,12.6%,11.0%,4.9%,15.4%,7.6%,18.0%,24.8%,14.7%,21.2%,19.3%,21.9%,24.0%,21.5%,25.2%,35.8%,26.6%,22.7%,27.0%,22.9%,23.8%,26.8%,29.2%,34.6%,23.2%,25.3%,23.7%,33.6%,24.8%,16.4%,18.4%,6.2%,15.3%,15.8%,29.9%,54.7%,17.4%,18.4%,18.4%,19.6%,17.0%,33.4%,23.0%,24.3%,18.0%,18.8%,26.3%,35.7%,25.5%,23.0%,25.8%,23.5%,23.4%,21.4%,24.5%,21.8%,21.7%,27.9%,27.0%,26.8%,26.3%,24.9%
EBITDA Margin,13.2% ,18.9%,(6.0%),5.3%,19.8%,18.2%,14.4%,6.0%,14.6%,17.4%,15.6%,5.1%,7.9%,17.9%,7.1%,8.5%,7.1%,11.9%,5.7%,15.6%,2.7%,1.7%,(4.4%),7.4%,(2.6%),10.1%,16.5%,4.6%,10.5%,10.5%,14.8%,13.0%,11.7%,15.6%,25.7%,15.1%,11.4%,16.6%,9.9%,8.2%,10.9%,14.3%,18.8%,8.1%,9.1%,9.0%,20.9%,9.7%,3.5%,7.3%,(0.4%),(1.0%),(0.1%),17.6%,53.9%,7.4%,6.7%,10.6%,10.9%,(0.3%),17.2%,11.6%,15.0%,4.9%,9.9%,13.8%,28.5%,14.7%,11.9%,13.8%,18.5%,14.0%,12.7%,13.9%,15.6%,15.7%,13.6%,19.1%,19.5%,16.4%,14.7%
Operating Margin,9.7% ,9.5%,(7.9%),3.0%,17.2%,15.7%,11.9%,2.7%,12.1%,14.9%,13.7%,0.0%,3.9%,15.8%,3.3%,2.6%,1.8%,7.4%,4.1%,8.2%,(7.8%),(7.1%),(11.7%),(1.3%),(10.5%),1.8%,(23.6%),(3.1%),4.2%,5.3%,11.4%,8.2%,6.9%,11.8%,21.1%,11.0%,5.7%,5.5%,105.7%,1.9%,6.1%,9.8%,12.3%,1.0%,4.5%,5.2%,15.7%,2.7%,(3.4%),(0.7%),(6.9%),(8.6%),(6.9%),12.9%,50.3%,(0.3%),(0.2%),3.0%,(86.8%),(8.5%),13.2%,6.4%,8.4%,0.5%,4.7%,9.3%,21.9%,9.1%,5.5%,7.9%,11.0%,8.6%,9.0%,9.5%,13.0%,12.7%,6.3%,15.2%,16.9%,12.2%,11.0%
Pretax Margin,10.4% ,8.6%,(9.7%),1.2%,16.0%,14.2%,10.5%,1.1%,10.5%,13.7%,12.8%,(2.4%),1.8%,13.6%,1.9%,(1.0%),(3.3%),3.6%,0.1%,(2.2%),(22.0%),(18.9%),(21.2%),(13.0%),(23.1%),(10.1%),(30.3%),(14.5%),(5.3%),(2.4%),5.5%,1.1%,2.9%,8.9%,18.2%,8.0%,1.5%,1.8%,98.4%,(0.3%),3.5%,7.8%,11.0%,(2.2%),3.3%,3.8%,14.3%,0.3%,(5.5%),(2.9%),(8.4%),(7.7%),(5.7%),13.2%,50.6%,(2.3%),(1.7%),1.7%,(88.1%),(10.3%),12.0%,4.9%,7.3%,(1.1%),3.0%,8.1%,21.0%,8.4%,4.6%,7.0%,9.9%,7.1%,8.1%,8.3%,12.0%,11.7%,4.2%,13.8%,15.9%,10.9%,9.8%
Effective Tax Rate,21.5% ,0.0%,-,7.6%,(0.3%),0.0%,0.0%,0.0%,0.0%,16.6%,34.5%,-,111.6%,34.1%,94.8%,-,-,84.1%,1320.0%,-,-,-,-,-,-,-,-,-,-,-,61.8%,287.9%,102.6%,40.6%,34.1%,37.0%,138.0%,180.3%,2.6%,-,33.9%,14.4%,23.3%,-,26.0%,23.3%,21.3%,(4.8%),-,-,-,-,-,(2.1%),1.9%,-,-,(14.1%),-,-,(5.7%),7.7%,5.1%,-,24.8%,9.7%,20.2%,18.8%,15.8%,15.0%,19.0%,17.1%,16.5%,20.6%,21.9%,19.4%,35.4%,19.2%,22.6%,21.5%,22.5%
Net Margin,7.7% ,8.6%,(9.7%),1.1%,16.1%,14.2%,10.5%,1.1%,10.5%,11.4%,8.4%,(3.1%),(0.2%),9.0%,0.1%,(2.7%),(4.9%),0.6%,(1.8%),(4.9%),(23.4%),(20.9%),(20.9%),(13.4%),(23.1%),(10.8%),(34.6%),(16.7%),(8.7%),(5.9%),2.1%,(2.1%),(0.1%),5.3%,12.0%,5.0%,(0.6%),(1.4%),95.9%,(0.5%),2.3%,6.6%,8.5%,(1.9%),2.4%,2.9%,11.3%,0.3%,(5.3%),(1.7%),(7.2%),(7.5%),(5.7%),13.5%,49.7%,(1.9%),(2.2%),1.9%,(70.5%),(11.2%),12.6%,4.6%,7.0%,(1.5%),2.3%,7.3%,16.8%,6.9%,3.9%,5.9%,8.0%,5.9%,6.8%,6.6%,9.4%,9.5%,2.7%,11.1%,12.3%,8.5%,7.6%
DuPont/Earning Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
