BBGI PCL | Price History                                          25-Sep-2024 16:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"1,889,070,900",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
10.00 - 11.00,"948,042,900",50.19%,6,4.51%,,,,,,,,,,,
9.00 - 10.00,"23,430,200",1.24%,2,1.50%,,,,,,,,,,,
8.00 - 9.00,"58,091,100",3.08%,6,4.51%,,,,,,,,,,,
7.00 - 8.00,"179,075,900",9.48%,19,14.29%,,,,,,,,,,,
6.00 - 7.00,"381,894,700",20.22%,30,22.56%,,,,,,,,,,,
5.00 - 6.00,"211,338,700",11.19%,36,27.07%,,,,,,,,,,,
4.00 - 5.00,"84,176,200",4.46%,31,23.31%,,,,,,,,,,,
3.00 - 4.00,"3,021,200",0.16%,3,2.26%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,10.80,18-มี.ค.-2022,Max,"595,345,800",18-มี.ค.-2022,Advancing,"665,216,300",Up,48,Up,+23.08%,28-มิ.ย.-2024,Max,"6,222,827,940.00",18-มี.ค.-2022
Low,3.88,15-ธ.ค.-2023,Min,"336,200",05-พ.ค.-2023,Declining,"572,928,900",Down,67,Down,-21.01%,26-ก.ค.-2024,Min,"1,350,400.00",08-ธ.ค.-2023
Avg,6.05,,Avg,"14,203,541",,Total,"1,889,070,900",Unch,17,Period,-34.16%,10 Years,Avg,"119,732,816.92",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,6.65,-0.45,-6.34%,7.10,6.55,7.40,"21,217,700","146,715,360.00","474,378,911.00",,,,,,
20-ก.ย.-2024,7.10,-0.05,-0.70%,7.20,7.00,7.50,"13,951,800","101,083,840.00","621,094,271.00",,,,,,
13-ก.ย.-2024,7.15,+0.45,+6.72%,6.70,6.70,7.55,"29,517,700","213,642,360.00","722,178,111.00",,,,,,
06-ก.ย.-2024,6.70,-0.05,-0.74%,6.75,6.40,6.95,"17,101,700","114,543,340.00","508,535,751.00",,,,,,
30-ส.ค.-2024,6.75,+0.40,+6.30%,6.35,6.35,7.10,"34,929,300","236,063,480.00","623,079,091.00",,,,,,
23-ส.ค.-2024,6.35,+0.20,+3.25%,6.20,6.00,6.40,"16,601,900","103,398,595.00","387,015,611.00",,,,,,
16-ส.ค.-2024,6.15,+0.55,+9.82%,5.55,5.35,6.25,"23,242,200","134,780,695.00","283,617,016.00",,,,,,
09-ส.ค.-2024,5.60,+0.25,+4.67%,5.30,4.80,6.00,"35,732,800","196,109,663.00","148,836,321.00",,,,,,
02-ส.ค.-2024,5.35,-0.10,-1.83%,5.40,5.30,5.60,"12,925,100","70,489,020.00","-47,273,342.00",,,,,,
26-ก.ค.-2024,5.45,-1.45,-21.01%,6.75,5.10,6.75,"58,182,900","324,161,755.00","23,215,678.00",,,,,,
