BCPG PCL | Income Statement                                25-Sep-2024 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,90 ,N/A ,N/A ,N/A ,21 ,25 ,17 ,13 ,19 ,18 ,14 ,43 ,46 ,39 ,45 ,43 ,34 ,29 ,33 ,30 ,36 ,45 ,35 ,23 ,16 ,41 ,47 ,60 ,72 ,32 ,19 ,15 ,15 ,13 ,31 
Period End Date,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"752,137 ","774,963 ","730,776 ","766,351 ","782,754 ","759,477 ","785,054 ","756,627 ","797,982 ","889,590 ","853,938 ","780,971 ","801,499 ","873,833 ","829,675 ","815,316 ","807,792 ","847,603 ","790,043 ","981,174 ","886,417 ","969,597 ","1,237,903 ","1,136,734 ","1,046,650 ","1,088,212 ","1,302,263 ","1,231,674 ","1,158,478 ","1,436,457 ","1,543,534 ","1,266,720 ","1,057,230 ","1,092,713 ","1,563,577 ","1,317,906 ","1,194,073 ","1,083,640 "
Net Sales,"752,137 ","774,963 ","730,776 ","766,351 ","782,754 ","759,477 ","785,054 ","756,627 ","797,982 ","889,590 ","853,938 ","780,971 ","801,499 ","873,833 ","829,675 ","815,316 ","807,792 ","847,603 ","790,043 ","981,174 ","886,417 ","969,597 ","1,237,903 ","1,136,734 ","1,046,650 ","1,088,212 ","1,302,263 ","1,231,674 ","1,158,478 ","1,436,457 ","1,543,534 ","1,266,720 ","1,057,230 ","1,092,713 ","1,563,577 ","1,317,906 ","1,194,073 ","1,083,640 "
Total Revenue,"752,137 ","774,963 ","730,776 ","766,351 ","782,754 ","759,477 ","785,054 ","756,627 ","797,982 ","889,590 ","853,938 ","780,971 ","801,499 ","873,833 ","829,675 ","815,316 ","807,792 ","847,603 ","790,043 ","981,174 ","886,417 ","969,597 ","1,237,903 ","1,136,734 ","1,046,650 ","1,088,212 ","1,302,263 ","1,231,674 ","1,158,478 ","1,436,457 ","1,543,534 ","1,266,720 ","1,057,230 ","1,092,713 ","1,563,577 ","1,317,906 ","1,194,073 ","1,083,640 "
"Cost of Revenue, Total","153,090 ","154,244 ","155,452 ","161,278 ","187,694 ","192,416 ","215,844 ","243,238 ","221,317 ","247,547 ","245,029 ","254,579 ","239,554 ","247,460 ","254,305 ","227,756 ","206,944 ","223,599 ","226,236 ","304,651 ","308,876 ","358,096 ","373,465 ","395,716 ","393,678 ","396,060 ","393,980 ","424,158 ","420,648 ","503,461 ","521,313 ","532,922 ","519,504 ","567,287 ","702,931 ","768,327 ","693,007 ","711,880 "
Cost of Revenue,"153,090 ","154,244 ","155,452 ","161,278 ","187,694 ","192,416 ","215,844 ","243,238 ","221,317 ","247,547 ","245,029 ","254,579 ","239,554 ","247,460 ","254,305 ","227,756 ","206,944 ","223,599 ","226,236 ","304,651 ","308,876 ","358,096 ","373,465 ","395,716 ","393,678 ","396,060 ","393,980 ","424,158 ","420,648 ","503,461 ","521,313 ","532,922 ","519,504 ","567,287 ","702,931 ","768,327 ","693,007 ","711,880 "
Gross Profit,"599,047 ","620,719 ","575,324 ","605,073 ","595,060 ","567,060 ","569,211 ","513,390 ","576,665 ","642,043 ","608,909 ","526,392 ","561,945 ","626,373 ","575,370 ","587,559 ","600,848 ","624,004 ","563,807 ","676,523 ","577,541 ","611,501 ","864,438 ","741,018 ","652,972 ","692,152 ","908,283 ","807,516 ","737,830 ","932,996 ","1,022,221 ","733,797 ","537,726 ","525,426 ","860,646 ","549,579 ","501,066 ","371,760 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
