CK Power PCL | Balance Sheet                                12-Sep-2024 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,48 ,56 ,63 ,61 ,52 ,49 ,41 ,43 ,47 ,63 ,37 ,34 ,38 ,23 ,35 ,33 ,26 ,34 ,41 ,48 ,59 ,42 ,30 ,27 ,14 ,20 ,19 ,18 ,22 ,26 ,32 ,37 ,34 ,36 ,31 ,25 ,32 ,25 ,35 ,44 ,41 
Period End Date,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"593,169 ","592,651 ","965,321 ","1,297,521 ","1,855,821 ","1,603,162 ","2,007,954 ","1,798,922 ","2,065,181 ","2,215,131 ","3,697,070 ","3,381,799 ","3,322,824 ","3,409,415 ","6,877,118 ","7,789,024 ","6,475,300 ","5,859,278 ","4,737,601 ","4,853,725 ","4,464,417 ","4,123,659 ","4,156,324 ","3,862,165 ","4,234,370 ","4,020,487 ","7,910,236 ","5,920,978 ","4,909,039 ","5,159,227 ","4,730,920 ","5,616,047 ","8,900,588 ","6,436,443 ","6,367,474 ","6,538,188 ","7,083,789 ","6,975,860 ","5,854,789 ","7,359,100 ","7,271,246 ","5,761,257 ","6,064,240 ","6,390,648 ","6,958,780 ","6,920,608 ","8,989,364 "
Cash,"572,833 ","592,651 ",--,"1,267,401 ","1,791,473 ","1,518,139 ","1,898,148 ","1,654,589 ","1,830,133 ","2,051,533 ","3,479,485 ","1,995,277 ","2,140,585 ","2,345,529 ","2,224,233 ","3,456,531 ","2,279,585 ","2,015,958 ","1,366,504 ","2,396,054 ","2,197,481 ","2,141,095 ","2,396,561 ","1,926,896 ","2,586,578 ","2,715,790 ","6,818,737 ","5,229,627 ","4,214,184 ","4,547,654 ","4,729,418 ","5,614,532 ","8,899,071 ","5,934,926 ","6,365,956 ","6,536,666 ","7,082,267 ",--,--,--,"5,914,102 ",--,--,--,"5,580,423 ",--,--
Cash & Equivalents,--,--,"965,321 ",--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,(1),--,--,--,0 ,"6,974,337 ","4,502,480 ","6,005,061 ",0 ,"4,400,383 ","4,698,900 ","4,946,806 ",0 ,"5,534,625 ","8,601,072 "
Short Term Investments,"20,336 ",0 ,0 ,"30,120 ","64,348 ","85,023 ","109,806 ","144,333 ","235,049 ","163,598 ","217,585 ","1,386,522 ","1,182,240 ","1,063,886 ","4,652,885 ","4,332,493 ","4,195,714 ","3,843,320 ","3,371,097 ","2,457,671 ","2,266,937 ","1,982,564 ","1,759,763 ","1,935,269 ","1,647,792 ","1,304,697 ","1,091,499 ","691,351 ","694,855 ","611,573 ","1,502 ","1,515 ","1,517 ","501,517 ","1,518 ","1,522 ","1,523 ","1,523 ","1,352,309 ","1,354,039 ","1,357,144 ","1,360,874 ","1,365,340 ","1,443,842 ","1,378,357 ","1,385,983 ","388,292 "
"Accounts Receivable - Trade, Net","952,356 ","744,223 ","820,678 ","1,592,899 ","999,708 ","1,291,098 ","1,117,161 ","1,345,497 ","1,481,421 ","1,249,079 ","1,108,837 ","993,599 ","1,211,918 ","891,798 ","1,005,756 ","1,315,241 ","715,562 ","764,796 ","913,129 ","1,590,099 ","1,155,140 ","1,191,380 ","1,279,595 ","2,100,241 ","1,310,849 ","1,553,643 ","1,303,339 ","1,368,209 ","1,208,017 ","1,100,973 ","1,140,975 ","1,320,277 ","869,246 ","1,314,859 ","1,457,057 ","1,697,948 ","1,526,262 ","1,723,051 ","1,791,716 ","2,440,558 ","2,044,990 ","1,923,250 ","1,461,966 ","1,769,808 ","1,963,763 ","1,956,028 ","2,015,117 "
"Accounts Receivable - Trade, Gross","952,356 ","744,223 ","820,678 ","1,592,899 ","999,708 ","1,291,098 ","1,117,161 ","1,345,497 ","1,481,421 ","1,249,079 ","1,108,837 ","993,599 ","1,211,918 ","891,798 ","1,005,756 ","1,315,241 ","715,562 ","764,796 ","913,129 ","1,590,099 ","1,155,140 ","1,191,380 ","1,279,595 ","2,100,241 ","1,310,849 ","1,553,643 ","1,303,339 ","1,368,209 ","1,208,017 ","1,100,973 ","1,140,975 ","1,320,277 ","869,246 ","1,314,859 ","1,457,057 ","1,697,948 ","1,526,262 ","1,723,051 ","1,791,716 ","2,440,558 ","2,044,990 ","1,923,250 ","1,461,966 ","1,769,808 ","1,963,763 ","1,956,028 ","2,015,117 "
"Total Receivables, Net","952,617 ","746,615 ","820,678 ","1,604,573 ","1,002,297 ","1,296,389 ","1,119,454 ","1,350,529 ","1,483,177 ","1,253,994 ","1,110,109 ","1,017,712 ","1,219,247 ","907,467 ","1,009,822 ","1,332,568 ","719,718 ","851,620 ","971,797 ","1,653,996 ","1,298,954 ","1,334,451 ","1,375,286 ","2,190,710 ","1,378,846 ","1,601,202 ","1,566,217 ","1,438,395 ","1,387,107 ","1,417,593 ","1,379,821 ","1,532,124 ","1,208,491 ","1,775,995 ","2,078,739 ","2,396,079 ","2,104,938 ","2,421,174 ","2,362,856 ","3,355,345 ","2,776,847 ","2,830,851 ","2,300,208 ","2,845,279 ","2,946,655 ","3,046,551 ","2,914,125 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,--,"66,122 ",0 ,"44,393 ",0 ,"45,915 ",0 ,--,0 
