CPT Drives And Power PCL | Price History                                          12-Sep-2024 14:23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"11,834,774,600",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
2.50 - 3.00,"439,147,600",3.71%,7,1.99%,,,,,,,,,,,
2.00 - 2.50,"1,935,051,900",16.35%,29,8.24%,,,,,,,,,,,
1.50 - 2.00,"153,531,500",1.30%,6,1.70%,,,,,,,,,,,
1.00 - 1.50,"6,421,622,300",54.26%,48,13.64%,,,,,,,,,,,
0.50 - 1.00,"2,885,421,300",24.38%,262,74.43%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.96,27-ก.ค.-2018,Max,"1,218,972,600",08-ก.พ.-2019,Advancing,"6,733,809,600",Up,130,Up,+40.48%,08-ก.พ.-2019,Max,"1,419,580,063.00",08-ก.พ.-2019
Low,0.50,13-มี.ค.-2020,Min,"79,100",14-เม.ย.-2023,Declining,"4,223,017,700",Down,173,Down,-21.17%,24-ส.ค.-2018,Min,"56,374.00",14-เม.ย.-2023
Avg,1.01,,Avg,"33,621,519",,Total,"11,834,774,600",Unch,48,Period,-66.97%,10 Years,Avg,"44,586,996.57",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
13-ก.ย.-2024,0.72,0.00,0.00%,0.72,0.71,0.74,"696,400","503,278.00","4,050,028,446.00",,,,,,
06-ก.ย.-2024,0.72,+0.01,+1.41%,0.71,0.71,0.77,"1,048,600","759,152.00","4,049,525,168.00",,,,,,
30-ส.ค.-2024,0.71,0.00,0.00%,0.71,0.69,0.73,"981,900","694,184.00","4,048,766,016.00",,,,,,
23-ส.ค.-2024,0.71,+0.03,+4.41%,0.68,0.67,0.72,"2,771,200","1,915,674.00","4,048,071,832.00",,,,,,
16-ส.ค.-2024,0.68,0.00,0.00%,0.68,0.66,0.69,"2,530,700","1,685,510.00","4,046,156,158.00",,,,,,
09-ส.ค.-2024,0.68,-0.06,-8.11%,0.73,0.67,0.74,"2,906,800","2,029,721.00","4,047,841,668.00",,,,,,
02-ส.ค.-2024,0.74,-0.04,-5.13%,0.78,0.73,0.78,"1,192,600","896,059.00","4,049,871,389.00",,,,,,
26-ก.ค.-2024,0.78,+0.01,+1.30%,0.78,0.74,0.80,"1,456,300","1,117,632.00","4,050,767,448.00",,,,,,
19-ก.ค.-2024,0.77,0.00,0.00%,0.78,0.77,0.85,"4,950,900","4,014,991.00","4,049,649,816.00",,,,,,
12-ก.ค.-2024,0.77,-0.02,-2.53%,0.78,0.76,0.79,"1,049,400","815,415.00","4,053,664,807.00",,,,,,
05-ก.ค.-2024,0.79,-0.03,-3.66%,0.82,0.79,0.83,"1,182,600","952,192.00","4,054,480,222.00",,,,,,
28-มิ.ย.-2024,0.82,+0.06,+7.89%,0.75,0.75,0.86,"2,996,800","2,474,164.00","4,055,432,414.00",,,,,,
21-มิ.ย.-2024,0.76,-0.04,-5.00%,0.80,0.69,0.81,"8,509,000","6,335,783.00","4,052,958,250.00",,,,,,
14-มิ.ย.-2024,0.80,-0.09,-10.11%,0.89,0.80,0.91,"9,314,500","7,977,090.00","4,059,294,033.00",,,,,,
07-มิ.ย.-2024,0.89,+0.07,+8.54%,0.84,0.84,0.95,"9,356,200","8,406,618.00","4,067,271,123.00",,,,,,
31-พ.ค.-2024,0.82,-0.10,-10.87%,0.89,0.81,0.94,"4,940,000","4,307,824.00","4,058,864,505.00",,,,,,
24-พ.ค.-2024,0.92,+0.03,+3.37%,0.93,0.87,1.03,"42,681,400","41,049,709.00","4,063,172,329.00",,,,,,
17-พ.ค.-2024,0.89,+0.14,+18.67%,0.77,0.75,0.91,"22,433,200","18,997,536.00","4,022,122,620.00",,,,,,
10-พ.ค.-2024,0.75,+0.02,+2.74%,0.73,0.68,0.76,"7,148,200","5,137,543.00","4,003,125,084.00",,,,,,
03-พ.ค.-2024,0.73,+0.04,+5.80%,0.70,0.69,0.77,"6,155,800","4,533,371.00","3,997,987,541.00",,,,,,
26-เม.ย.-2024,0.69,+0.06,+9.52%,0.63,0.62,0.72,"2,438,100","1,620,632.00","3,993,454,170.00",,,,,,
19-เม.ย.-2024,0.63,-0.05,-7.35%,0.66,0.63,0.67,"1,541,500","1,003,377.00","3,991,833,538.00",,,,,,
12-เม.ย.-2024,0.68,+0.01,+1.49%,0.68,0.66,0.71,"1,605,700","1,090,742.00","3,992,836,915.00",,,,,,
05-เม.ย.-2024,0.67,-0.05,-6.94%,0.73,0.64,0.77,"12,121,600","8,634,591.00","3,991,746,173.00",,,,,,
29-มี.ค.-2024,0.72,+0.02,+2.86%,0.71,0.70,0.88,"68,293,300","55,375,090.00","4,000,380,764.00",,,,,,
22-มี.ค.-2024,0.70,-0.03,-4.11%,0.73,0.69,0.73,"1,385,700","986,137.00","3,945,005,674.00",,,,,,
15-มี.ค.-2024,0.73,+0.03,+4.29%,0.70,0.69,0.75,"2,361,800","1,692,935.00","3,945,991,811.00",,,,,,
08-มี.ค.-2024,0.70,+0.01,+1.45%,0.70,0.65,0.71,"2,405,500","1,627,726.00","3,944,298,876.00",,,,,,
01-มี.ค.-2024,0.69,-0.03,-4.17%,0.72,0.66,0.72,"4,767,200","3,283,571.00","3,942,671,150.00",,,,,,
23-ก.พ.-2024,0.72,+0.02,+2.86%,0.70,0.67,0.76,"8,375,500","6,039,544.00","3,945,954,721.00",,,,,,
16-ก.พ.-2024,0.70,+0.03,+4.48%,0.68,0.65,0.72,"4,737,900","3,268,533.00","3,939,915,177.00",,,,,,
09-ก.พ.-2024,0.67,+0.02,+3.08%,0.65,0.64,0.69,"3,043,600","2,017,397.00","3,936,646,644.00",,,,,,
