CPT Drives And Power PCL | Income Statement                                12-Sep-2024 14:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,94 ,N/A ,N/A ,N/A ,97 ,97 ,62 ,26 ,1 ,2 ,2 ,3 ,2 ,26 ,7 ,2 ,11 ,7 ,35 ,45 ,66 ,51 ,34 ,31 ,12 ,15 ,34 ,28 ,22 ,59 ,45 
Period End Date,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"102,367 ","284,539 ","399,719 ","440,801 ","254,612 ","153,132 ","355,707 ","472,657 ","182,790 ","210,432 ","220,897 ","337,550 ","114,976 ","122,981 ","176,609 ","156,946 ","123,078 ","227,733 ","308,307 ","283,955 ","170,827 ","184,526 ","165,259 ","258,125 ","338,901 ","327,433 ","436,251 ","239,539 ","298,450 ","345,204 ","275,390 ","246,171 ","227,731 ","228,516 "
Net Sales,"102,367 ","284,539 ","399,719 ","440,801 ","254,612 ","153,132 ","355,707 ","472,657 ","182,790 ","210,432 ","220,897 ","337,550 ","114,976 ","122,981 ","176,609 ","156,946 ","123,078 ","227,733 ","308,307 ","283,955 ","170,827 ","184,526 ","165,259 ","258,125 ","338,901 ","327,433 ","436,251 ","239,539 ","298,450 ","345,204 ","275,390 ","246,171 ","227,731 ","228,516 "
Total Revenue,"102,367 ","284,539 ","399,719 ","440,801 ","254,612 ","153,132 ","355,707 ","472,657 ","182,790 ","210,432 ","220,897 ","337,550 ","114,976 ","122,981 ","176,609 ","156,946 ","123,078 ","227,733 ","308,307 ","283,955 ","170,827 ","184,526 ","165,259 ","258,125 ","338,901 ","327,433 ","436,251 ","239,539 ","298,450 ","345,204 ","275,390 ","246,171 ","227,731 ","228,516 "
"Cost of Revenue, Total","75,554 ","212,883 ","312,896 ","323,965 ","190,128 ","113,878 ","247,544 ","363,185 ","145,319 ","157,039 ","182,149 ","278,830 ","76,169 ","105,513 ","138,225 ","137,967 ","109,737 ","203,020 ","269,791 ","250,501 ","167,619 ","181,631 ","187,626 ","272,088 ","306,327 ","301,678 ","432,367 ","226,245 ","270,057 ","295,208 ","233,322 ","204,029 ","187,751 ","187,506 "
Cost of Revenue,"75,554 ","212,883 ","312,896 ","323,965 ","190,128 ","113,878 ","247,544 ","363,185 ","145,319 ","157,039 ","182,149 ","278,830 ","76,169 ","105,513 ","138,225 ","137,967 ","109,737 ","203,020 ","269,791 ","250,501 ","167,619 ","181,631 ","187,626 ","272,088 ","306,327 ","301,678 ","432,367 ","226,245 ","270,057 ","295,208 ","233,322 ","204,029 ","187,751 ","187,506 "
Gross Profit,"26,813 ","71,656 ","86,823 ","116,836 ","64,484 ","39,254 ","108,162 ","109,472 ","37,471 ","53,393 ","38,747 ","58,720 ","38,806 ","17,469 ","38,385 ","18,979 ","13,341 ","24,713 ","38,516 ","33,454 ","3,209 ","2,895 ","(22,367)","(13,962)","32,575 ","25,755 ","3,884 ","13,294 ","28,393 ","49,996 ","42,067 ","42,142 ","39,980 ","41,011 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
