Energy Absolute PCL | Price History                                          12-Sep-2024 14:26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EA.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"46,764,813,800",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
90.00 - 100.00,"2,234,125,900",4.78%,28,5.35%,,,,,,,,,,,
80.00 - 90.00,"2,112,232,100",4.52%,34,6.50%,,,,,,,,,,,
70.00 - 80.00,"845,912,000",1.81%,13,2.49%,,,,,,,,,,,
60.00 - 70.00,"4,679,864,500",10.01%,46,8.80%,,,,,,,,,,,
50.00 - 60.00,"3,864,788,600",8.26%,55,10.52%,,,,,,,,,,,
40.00 - 50.00,"8,583,623,500",18.35%,112,21.41%,,,,,,,,,,,
30.00 - 40.00,"5,754,243,100",12.30%,78,14.91%,,,,,,,,,,,
20.00 - 30.00,"4,715,787,200",10.08%,142,27.15%,,,,,,,,,,,
10.00 - 20.00,"3,545,773,100",7.58%,6,1.15%,,,,,,,,,,,
0.00 - 10.00,"10,428,463,800",22.30%,9,1.72%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EA.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,105.50,17-ธ.ค.-2021,Max,"1,547,347,800",23-ส.ค.-2024,Advancing,"22,349,119,700",Up,240,Up,+78.07%,23-ส.ค.-2024,Max,"34,649,132,725.00",08-ม.ค.-2021
Low,3.10,02-ส.ค.-2024,Min,"2,498,000",17-เม.ย.-2015,Declining,"23,479,165,400",Down,253,Down,-61.45%,19-ก.ค.-2024,Min,"59,272,120.00",15-เม.ย.-2016
Avg,46.08,,Avg,"89,416,470",,Total,"46,764,813,800",Unch,29,Period,-70.42%,10 Years,Avg,"3,439,734,335.95",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EA.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
13-ก.ย.-2024,7.10,+0.35,+5.19%,6.90,6.70,7.35,"656,666,300","4,617,211,355.00","88,720,453,590.00",,,,,,
06-ก.ย.-2024,6.75,+0.15,+2.27%,6.70,5.75,7.15,"1,112,329,300","7,094,503,765.00","84,103,242,235.00",,,,,,
30-ส.ค.-2024,6.60,-0.95,-12.58%,7.90,6.45,8.25,"1,303,945,800","9,339,452,205.00","77,008,738,470.00",,,,,,
23-ส.ค.-2024,7.55,+3.31,+78.07%,4.26,4.22,7.65,"1,547,347,800","9,220,929,618.00","86,348,190,675.00",,,,,,
16-ส.ค.-2024,4.24,-0.02,-0.47%,4.30,3.98,4.46,"506,367,800","2,124,722,376.00","77,127,261,057.00",,,,,,
09-ส.ค.-2024,4.26,+0.62,+17.03%,3.56,3.32,4.36,"1,339,872,500","5,150,333,998.00","79,251,983,433.00",,,,,,
02-ส.ค.-2024,3.64,-0.46,-11.22%,3.82,3.10,4.16,"1,174,635,700","4,415,745,556.00","74,101,649,435.00",,,,,,
26-ก.ค.-2024,4.10,-0.95,-18.81%,5.10,3.54,5.15,"1,498,855,200","6,250,306,975.00","78,517,394,991.00",,,,,,
19-ก.ค.-2024,5.05,-8.05,-61.45%,9.15,4.72,9.20,"1,288,443,400","6,809,790,494.00","84,767,701,966.00",,,,,,
12-ก.ค.-2024,13.10,-0.60,-4.38%,13.30,12.20,13.80,"680,232,900","8,899,571,380.00","91,577,492,460.00",,,,,,
05-ก.ค.-2024,13.70,+2.50,+22.32%,12.20,11.60,14.00,"1,136,524,400","14,365,876,940.00","100,477,063,840.00",,,,,,
28-มิ.ย.-2024,11.20,-7.00,-38.46%,18.10,10.50,19.20,"1,215,982,800","16,039,228,430.00","86,111,186,900.00",,,,,,
21-มิ.ย.-2024,18.20,-1.30,-6.67%,19.80,16.90,20.30,"293,581,500","5,362,878,460.00","102,150,415,330.00",,,,,,
14-มิ.ย.-2024,19.50,-2.00,-9.30%,21.40,19.50,22.00,"195,374,300","4,027,840,460.00","107,513,293,790.00",,,,,,
07-มิ.ย.-2024,21.50,-1.40,-6.11%,22.60,21.30,22.90,"98,779,600","2,183,106,770.00","111,541,134,250.00",,,,,,
31-พ.ค.-2024,22.90,-0.90,-3.78%,24.00,21.80,24.60,"184,095,700","4,219,544,920.00","113,724,241,020.00",,,,,,
24-พ.ค.-2024,23.80,-2.70,-10.19%,26.50,22.70,27.00,"163,127,900","3,980,473,880.00","117,943,785,940.00",,,,,,
17-พ.ค.-2024,26.50,-3.00,-10.17%,28.75,25.25,28.75,"193,870,300","5,208,336,900.00","121,924,259,820.00",,,,,,
10-พ.ค.-2024,29.50,-1.50,-4.84%,31.50,29.50,32.25,"45,955,600","1,413,156,800.00","127,132,596,720.00",,,,,,
03-พ.ค.-2024,31.00,+0.25,+0.81%,31.25,29.75,31.50,"42,929,100","1,319,244,500.00","128,545,753,520.00",,,,,,
26-เม.ย.-2024,30.75,+0.50,+1.65%,31.00,30.50,32.50,"74,943,400","2,360,934,375.00","127,226,509,020.00",,,,,,
19-เม.ย.-2024,30.25,-5.75,-15.97%,34.75,29.00,34.75,"152,581,200","4,776,855,300.00","124,865,574,645.00",,,,,,
12-เม.ย.-2024,36.00,+3.75,+11.63%,32.50,32.50,36.25,"50,392,800","1,774,440,975.00","129,642,429,945.00",,,,,,
05-เม.ย.-2024,32.25,-2.00,-5.84%,34.00,31.75,34.75,"40,135,500","1,332,495,850.00","127,867,988,970.00",,,,,,
29-มี.ค.-2024,34.25,-1.25,-3.52%,35.25,33.75,35.75,"32,824,700","1,133,383,575.00","129,200,484,820.00",,,,,,
22-มี.ค.-2024,35.50,0.00,0.00%,35.25,34.25,36.00,"32,717,600","1,151,623,075.00","130,333,868,395.00",,,,,,
15-มี.ค.-2024,35.50,0.00,0.00%,35.50,34.75,36.25,"40,436,800","1,435,083,700.00","129,182,245,320.00",,,,,,
08-มี.ค.-2024,35.50,+0.75,+2.16%,34.75,33.50,35.50,"53,461,200","1,847,147,750.00","127,747,161,620.00",,,,,,
01-มี.ค.-2024,34.75,-4.75,-12.03%,38.75,34.25,38.75,"77,959,600","2,800,829,725.00","125,900,013,870.00",,,,,,
23-ก.พ.-2024,39.50,+1.25,+3.27%,38.25,37.25,41.00,"53,048,200","2,058,458,325.00","128,700,843,595.00",,,,,,
16-ก.พ.-2024,38.25,-1.50,-3.77%,39.75,38.00,40.75,"32,283,900","1,262,121,200.00","126,642,385,270.00",,,,,,
09-ก.พ.-2024,39.75,-0.50,-1.24%,40.25,39.25,41.50,"39,762,600","1,612,712,950.00","127,904,506,470.00",,,,,,
02-ก.พ.-2024,40.25,+1.50,+3.87%,39.00,38.50,41.00,"46,068,900","1,837,928,250.00","129,517,219,420.00",,,,,,
26-ม.ค.-2024,38.75,-0.75,-1.90%,39.75,36.50,39.75,"61,293,500","2,321,670,700.00","127,679,291,170.00",,,,,,
19-ม.ค.-2024,39.50,-3.50,-8.14%,43.25,39.00,43.75,"71,008,800","2,866,293,200.00","130,000,961,870.00",,,,,,
12-ม.ค.-2024,43.00,-2.00,-4.44%,45.00,42.25,45.00,"53,417,800","2,318,808,000.00","132,867,255,070.00",,,,,,
05-ม.ค.-2024,45.00,+0.75,+1.69%,44.25,44.25,46.75,"43,111,700","1,972,531,300.00","135,186,063,070.00",,,,,,
29-ธ.ค.-2023,44.25,-0.25,-0.56%,44.50,43.75,45.00,"25,295,200","1,119,883,700.00","133,213,531,770.00",,,,,,
22-ธ.ค.-2023,44.50,-1.00,-2.20%,45.25,43.75,45.75,"34,089,200","1,523,189,325.00","134,333,415,470.00",,,,,,
15-ธ.ค.-2023,45.50,+1.25,+2.82%,44.25,41.75,45.75,"41,663,700","1,818,187,725.00","135,856,604,795.00",,,,,,
08-ธ.ค.-2023,44.25,-1.00,-2.21%,44.75,43.75,45.50,"25,536,300","1,138,151,175.00","134,038,417,070.00",,,,,,
01-ธ.ค.-2023,45.25,-0.75,-1.63%,45.50,44.25,47.50,"58,197,200","2,659,427,675.00","135,176,568,245.00",,,,,,
24-พ.ย.-2023,46.00,-1.50,-3.16%,47.00,45.00,48.25,"56,165,000","2,639,937,950.00","137,835,995,920.00",,,,,,
17-พ.ย.-2023,47.50,+3.25,+7.34%,45.00,41.75,48.75,"88,109,500","4,010,007,025.00","140,475,933,870.00",,,,,,
10-พ.ย.-2023,44.25,-2.50,-5.35%,47.25,44.00,47.25,"53,356,600","2,422,946,950.00","136,465,926,845.00",,,,,,
03-พ.ย.-2023,46.75,+1.75,+3.89%,44.25,41.00,47.25,"108,779,000","4,717,459,025.00","138,888,873,795.00",,,,,,
27-ต.ค.-2023,45.00,-0.50,-1.10%,45.00,44.00,47.00,"46,570,600","2,109,830,200.00","134,171,414,770.00",,,,,,
20-ต.ค.-2023,45.50,-2.50,-5.21%,47.75,44.75,48.00,"81,492,800","3,776,848,750.00","136,281,244,970.00",,,,,,
13-ต.ค.-2023,48.00,-1.00,-2.04%,48.75,47.00,49.00,"47,612,500","2,285,356,450.00","140,058,093,720.00",,,,,,
06-ต.ค.-2023,49.00,-2.00,-3.92%,51.25,47.50,51.50,"65,205,500","3,230,097,825.00","142,343,450,170.00",,,,,,
29-ก.ย.-2023,51.00,-5.25,-9.33%,56.25,50.00,56.25,"114,035,400","5,963,068,300.00","145,573,547,995.00",,,,,,
22-ก.ย.-2023,56.25,-2.00,-3.43%,58.00,55.00,58.50,"53,734,600","3,039,488,025.00","151,536,616,295.00",,,,,,
15-ก.ย.-2023,58.25,-2.50,-4.12%,61.00,57.25,62.50,"94,265,400","5,578,248,050.00","154,576,104,320.00",,,,,,
08-ก.ย.-2023,60.75,-1.75,-2.80%,62.75,60.00,63.00,"50,320,800","3,090,356,550.00","160,154,352,370.00",,,,,,
01-ก.ย.-2023,62.50,-2.50,-3.85%,65.50,61.75,65.75,"75,572,700","4,821,156,825.00","163,244,708,920.00",,,,,,
25-ส.ค.-2023,65.00,+7.75,+13.54%,57.50,57.25,65.50,"135,392,600","8,389,808,400.00","168,065,865,745.00",,,,,,
18-ส.ค.-2023,57.25,-1.50,-2.55%,59.25,56.25,59.75,"49,047,800","2,828,865,250.00","159,676,057,345.00",,,,,,
11-ส.ค.-2023,58.75,+0.25,+0.43%,58.50,56.75,59.50,"59,013,400","3,423,512,350.00","162,504,922,595.00",,,,,,
04-ส.ค.-2023,58.50,-1.25,-2.09%,61.50,58.25,62.25,"67,750,200","4,101,274,575.00","159,081,410,245.00",,,,,,
28-ก.ค.-2023,59.75,+3.00,+5.29%,57.00,54.25,60.00,"58,413,400","3,333,096,025.00","163,182,684,820.00",,,,,,
21-ก.ค.-2023,56.75,+0.50,+0.89%,56.50,55.50,58.25,"61,840,800","3,500,272,450.00","159,849,588,795.00",,,,,,
14-ก.ค.-2023,56.25,+2.25,+4.17%,54.25,52.50,56.50,"49,328,500","2,688,559,625.00","156,349,316,345.00",,,,,,
07-ก.ค.-2023,54.00,-3.00,-5.26%,56.75,53.00,57.25,"41,864,500","2,310,400,125.00","153,660,756,720.00",,,,,,
30-มิ.ย.-2023,57.00,-1.00,-1.72%,57.75,51.50,58.00,"93,709,300","5,088,934,050.00","155,971,156,845.00",,,,,,
23-มิ.ย.-2023,58.00,-4.00,-6.45%,61.75,56.25,62.75,"56,950,400","3,358,508,200.00","161,060,090,895.00",,,,,,
16-มิ.ย.-2023,62.00,-2.00,-3.13%,63.75,61.50,64.75,"36,001,400","2,271,305,550.00","164,418,599,095.00",,,,,,
09-มิ.ย.-2023,64.00,+2.75,+4.49%,61.75,60.00,65.50,"48,809,900","3,080,511,500.00","166,689,904,645.00",,,,,,
