Energy Absolute PCL | Balance Sheet                                12-Sep-2024 13:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,,2009,,2010,2011,2012,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Dec-2007, Jun-2008, Dec-2008, Mar-2009, Dec-2009, Dec-2010, Dec-2011, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,1 ,3 ,3 ,4 ,4 ,3 ,6 ,7 ,7 ,8 ,12 ,14 ,39 ,59 ,71 ,51 ,42 ,73 ,73 ,11 ,12 ,8 ,9 ,43 ,38 ,34 ,25 ,23 ,28 ,34 ,34 ,33 ,36 ,18 ,19 ,15 ,14 ,17 ,16 ,19 ,31 
Period End Date,31-Dec-2007 ,30-Jun-2008 ,31-Dec-2008 ,31-Mar-2009 ,31-Dec-2009 ,31-Dec-2010 ,31-Dec-2011 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,"4,769 ","41,411 ","31,974 ","5,763 ","3,606 ","63,341 ","181,301 ","176,256 ","123,019 ","67,344 ","2,487,650 ","1,762,470 ","1,144,853 ","1,572,110 ","2,159,515 ","1,802,163 ","2,306,289 ","1,267,882 ","1,659,634 ","2,209,920 ","2,477,951 ","609,814 ","2,628,534 ","1,230,725 ","2,610,229 ","2,672,742 ","2,974,189 ","3,062,502 ","3,079,389 ","4,505,654 ","4,029,360 ","4,253,776 ","4,611,337 ","5,478,570 ","3,254,070 ","4,137,404 ","8,535,882 ","10,028,952 ","10,556,209 ","4,939,825 ","3,565,599 ","2,950,667 ","4,534,835 ","4,210,690 ","3,313,249 ","2,926,972 ","3,164,120 ","2,664,949 ","3,807,924 ","3,210,732 ","4,134,953 ","2,599,492 ","11,416,938 ","2,463,729 ","2,244,512 ","1,282,927 "
Cash,198 ,30 ,30 ,30 ,40 ,30 ,206 ,119 ,448 ,"29,062 ","2,168,522 ","1,409,992 ","1,037,886 ","1,572,110 ",--,--,--,--,--,--,--,"609,621 ",--,--,--,"2,672,466 ",--,--,--,"125,944 ",--,--,--,"141,953 ",--,--,--,"145,224 ",--,--,--,"45,766 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cash & Equivalents,"4,571 ","41,381 ","31,944 ","5,733 ","3,566 ","63,311 ","181,095 ","176,137 ","122,570 ","38,282 ","319,128 ","302,478 ","106,967 ",--,"2,159,515 ","1,802,163 ","2,306,289 ","1,267,882 ","1,659,634 ","2,209,920 ","2,477,951 ",194 ,"2,628,534 ","1,230,725 ","2,610,229 ",276 ,"2,974,189 ","3,062,502 ","3,079,389 ","4,379,710 ","4,007,892 ","4,253,776 ","4,611,337 ","5,336,617 ","3,254,070 ","4,137,404 ","8,535,882 ","9,883,728 ","10,556,209 ","4,939,825 ","3,565,599 ","2,904,901 ","4,534,835 ","4,210,690 ","3,313,249 ","2,926,972 ","3,164,120 ","2,664,949 ","3,807,924 ","3,210,732 ","4,134,953 ","2,599,492 ","11,416,938 ","2,463,729 ","2,244,512 ","1,282,927 "
Short Term Investments,--,--,--,--,--,--,--,--,--,0 ,--,"50,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"21,468 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Accounts Receivable - Trade, Net","47,674 ",0 ,"51,260 ","107,667 ","127,113 ","302,730 ","191,146 ","319,180 ","186,046 ","158,229 ","302,019 ","330,939 ","232,807 ","500,338 ","580,954 ","696,484 ","672,001 ","690,492 ","838,447 ","1,165,375 ","1,037,741 ","1,051,601 ","1,120,147 ","1,571,552 ","1,227,396 ","1,367,481 ","1,484,282 ","1,544,231 ","1,648,037 ","1,760,224 ","1,920,386 ","1,867,891 ","1,783,754 ","1,650,850 ","1,838,373 ","2,424,747 ","2,516,217 ","2,665,758 ","2,613,428 ","2,310,268 ","2,095,471 ","2,750,193 ","2,455,740 ","2,590,230 ","2,838,294 ","3,690,367 ","2,651,408 ","4,874,180 ","3,560,250 ","6,672,250 ","7,930,350 ","7,291,893 ","8,398,012 ","8,871,080 ","9,915,060 ","9,493,146 "
"Accounts Receivable - Trade, Gross","47,674 ",0 ,"51,260 ","107,667 ","128,538 ","304,155 ","192,571 ","320,605 ","186,046 ","158,229 ","302,019 ","330,939 ","232,807 ","500,338 ","580,954 ","696,484 ","672,001 ","690,492 ","838,447 ","1,165,375 ","1,037,741 ","1,051,601 ","1,120,147 ","1,571,552 ","1,227,396 ","1,367,481 ","1,484,282 ","1,544,231 ","1,648,037 ","1,760,224 ","1,920,386 ","1,867,891 ","1,783,754 ","1,650,850 ","1,838,373 ","2,424,747 ","2,516,217 ","2,665,758 ","2,613,428 ","2,310,268 ","2,095,471 ","2,750,193 ","2,455,740 ","2,590,230 ","2,838,294 ","3,690,367 ","2,651,408 ","4,875,205 ","3,561,275 ","6,673,902 ","7,930,813 ","7,292,356 ","8,398,475 ","8,873,195 ","9,917,175 ","9,525,227 "
