SCI Electric PCL | Price History                                          25-Sep-2024 17:16,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SCI.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"14,701,960,800",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
12.00 - 14.00,"253,133,700",1.72%,5,1.07%,,,,,,,,,,,
10.00 - 12.00,"1,715,078,500",11.67%,37,7.91%,,,,,,,,,,,
8.00 - 10.00,"4,955,108,100",33.70%,37,7.91%,,,,,,,,,,,
6.00 - 8.00,"1,637,195,500",11.14%,43,9.19%,,,,,,,,,,,
4.00 - 6.00,"85,571,500",0.58%,11,2.35%,,,,,,,,,,,
2.00 - 4.00,"3,213,426,200",21.86%,99,21.15%,,,,,,,,,,,
0.00 - 2.00,"2,842,447,300",19.33%,236,50.43%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SCI.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,13.10,10-ก.พ.-2017,Max,"1,396,692,500",16-ต.ค.-2015,Advancing,"8,075,100,000",Up,180,Up,+33.77%,16-ก.พ.-2024,Max,"10,709,441,695.00",16-ต.ค.-2015
Low,0.58,29-มี.ค.-2024,Min,"94,800",05-พ.ค.-2023,Declining,"4,808,646,700",Down,247,Down,-18.98%,11-พ.ค.-2018,Min,"110,429.00",16-ส.ค.-2024
Avg,3.64,,Avg,"31,414,446",,Total,"14,701,960,800",Unch,40,Period,-88.31%,10 Years,Avg,"190,886,891.15",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SCI.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,0.97,-0.02,-2.02%,0.99,0.95,1.02,"2,431,300","2,368,040.00","21,414,640,719.00",,,,,,
20-ก.ย.-2024,0.99,+0.09,+10.00%,0.90,0.89,1.05,"5,704,900","5,678,673.00","21,417,008,759.00",,,,,,
13-ก.ย.-2024,0.90,+0.02,+2.27%,0.87,0.87,0.93,"1,297,300","1,161,039.00","21,411,330,086.00",,,,,,
06-ก.ย.-2024,0.88,+0.02,+2.33%,0.93,0.86,0.99,"2,428,000","2,244,252.00","21,410,169,047.00",,,,,,
30-ส.ค.-2024,0.86,+0.05,+6.17%,0.86,0.74,0.90,"2,376,000","1,934,888.00","21,407,924,795.00",,,,,,
23-ส.ค.-2024,0.81,+0.07,+9.46%,0.74,0.66,0.83,"1,487,700","1,102,588.00","21,405,989,907.00",,,,,,
16-ส.ค.-2024,0.74,0.00,0.00%,0.71,0.61,0.74,"161,700","110,429.00","21,404,887,319.00",,,,,,
09-ส.ค.-2024,0.74,+0.02,+2.78%,0.69,0.62,0.74,"313,400","220,574.00","21,404,776,890.00",,,,,,
02-ส.ค.-2024,0.72,0.00,0.00%,0.71,0.70,0.73,"436,100","310,556.00","21,404,556,316.00",,,,,,
26-ก.ค.-2024,0.72,-0.01,-1.37%,0.73,0.70,0.76,"740,700","527,288.00","21,404,866,872.00",,,,,,
