Sermsang Power Corporation PCL | Income Statement                                25-Sep-2024 16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,11 ,N/A ,N/A ,N/A ,4 ,5 ,3 ,5 ,3 ,4 ,5 ,8 ,9 ,11 ,17 ,12 ,22 ,24 ,12 ,18 ,33 ,32 ,48 ,48 ,N/A ,38 ,26 ,58 ,62 ,29 ,32 
Period End Date,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"221,429 ","223,167 ","215,410 ","209,166 ","218,102 ","229,773 ","218,170 ","205,657 ","221,551 ","298,824 ","291,437 ","317,372 ","312,669 ","399,251 ","396,697 ","365,364 ","395,246 ","650,638 ","617,170 ","503,415 ","557,706 ","629,241 ","681,750 ","728,359 ","855,048 ","1,173,093 ","739,900 ","714,665 ","761,263 ","762,131 ","810,459 ","756,256 ","823,075 ","816,093 "
Net Sales,"221,429 ","223,167 ","215,410 ","209,166 ","218,102 ","229,773 ","218,170 ","205,657 ","221,551 ","298,824 ","291,437 ","317,372 ","312,669 ","399,251 ","396,697 ","365,364 ","395,246 ","650,638 ","617,170 ","503,415 ","557,706 ","629,241 ","681,750 ","728,359 ","855,048 ","1,173,093 ","739,900 ","714,665 ","761,263 ","762,131 ","810,459 ","756,256 ","823,075 ","816,093 "
Total Revenue,"221,429 ","223,167 ","215,410 ","209,166 ","218,102 ","229,773 ","218,170 ","205,657 ","221,551 ","298,824 ","291,437 ","317,372 ","312,669 ","399,251 ","396,697 ","365,364 ","395,246 ","650,638 ","617,170 ","503,415 ","557,706 ","629,241 ","681,750 ","728,359 ","855,048 ","1,173,093 ","739,900 ","714,665 ","761,263 ","762,131 ","810,459 ","756,256 ","823,075 ","816,093 "
"Cost of Revenue, Total","42,408 ","42,197 ","42,359 ","42,067 ","41,448 ","41,882 ","42,132 ","42,147 ","52,590 ","81,268 ","87,961 ","120,050 ","104,094 ","101,699 ","132,602 ","137,394 ","138,440 ","258,358 ","254,418 ","233,700 ","236,127 ","244,701 ","278,016 ","345,081 ","351,309 ","344,458 ","324,745 ","335,593 ","312,158 ","315,266 ","349,898 ","368,232 ","356,392 ","409,235 "
Cost of Revenue,"42,408 ","42,197 ","42,359 ","42,067 ","41,448 ","41,882 ","42,132 ","42,147 ","52,590 ","81,268 ","87,961 ","120,050 ","104,094 ","101,699 ","132,602 ","137,394 ","138,440 ","258,358 ","254,418 ","233,700 ","236,127 ","244,701 ","278,016 ","345,081 ","351,309 ","344,458 ","324,745 ","335,593 ","312,158 ","315,266 ","349,898 ","368,232 ","356,392 ","409,235 "
Gross Profit,"179,021 ","180,970 ","173,051 ","167,099 ","176,654 ","187,891 ","176,038 ","163,510 ","168,961 ","217,556 ","203,476 ","197,322 ","208,575 ","297,552 ","264,095 ","227,970 ","256,806 ","392,280 ","362,752 ","269,715 ","321,579 ","384,540 ","403,734 ","383,278 ","503,739 ","828,635 ","415,155 ","379,073 ","449,105 ","446,865 ","460,561 ","388,024 ","466,683 ","406,858 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
