Stark Corporation PCL                                12-Sep-2024 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Assets (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,790 ,"114,504 ","26,478 ","4,470 ","1,278 ","2,549 ","2,022 ","1,342 ","1,371 ","1,820 ",727 ,"3,465 ",771 ,478 ,"1,133 ",995 ,768 ,"1,958 ","1,774 ","1,558 ","4,472 ","2,440 ","2,562 ","2,502 ","7,875 ","3,393 ","8,794 ","6,677 ","8,142 ","12,367 ","13,680 ","13,861 ","14,053 ","10,328 ","10,783 ","11,998 ","7,919 ","5,997 ","4,278 ","4,977 ","6,857 ","4,457 ","1,890 ","1,637 ","2,430 ",941 ,646 ,"1,246 ","17,937 ","4,703 ","2,678 ","6,841 ","11,282 ","13,975 ","9,329 ","15,216 ","655,106 ","15,299 ",9 ,"2,655,116 ","1,431,142 ","1,607,868 ","772,214 ","449,823 ","1,214,485 ","731,615 ","879,086 ","1,134,758 ","1,029,478 ","647,012 ","725,882 ","453,481 ","6,117,557 "
Cash,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,607,791 ","772,214 ","449,823 ","1,156,030 ","670,505 ","879,086 ","1,134,758 ","1,029,478 ",--,--,--,"6,117,557 "
Cash & Equivalents,790 ,"114,504 ","26,478 ","4,470 ","1,278 ","2,549 ","2,022 ","1,342 ","1,371 ","1,820 ",727 ,"3,465 ",771 ,478 ,"1,133 ",995 ,768 ,"1,958 ","1,774 ","1,558 ","4,472 ","2,440 ","2,562 ","2,502 ","7,875 ","3,393 ","8,794 ","6,677 ","8,142 ","12,367 ","13,680 ","13,861 ","14,053 ","10,328 ","10,783 ","11,998 ","7,919 ","5,997 ","4,278 ","4,977 ","6,857 ","4,457 ","1,890 ","1,637 ","2,430 ",941 ,646 ,"1,246 ","14,638 ","4,703 ","2,678 ","6,841 ","11,282 ","13,975 ","9,329 ","15,216 ","655,106 ","15,299 ",9 ,"2,655,116 ","1,431,142 ",--,--,--,--,--,--,--,--,"647,012 ","725,882 ","453,481 ",--
Short Term Investments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,298 ",--,--,--,--,--,--,--,--,--,--,--,--,77 ,--,--,"58,455 ","61,110 ",0 ,0 ,--,--,--,--,--
"Accounts Receivable - Trade, Net","196,057 ","262,418 ","329,954 ","372,909 ","380,674 ","371,343 ","368,230 ","369,775 ","335,687 ","342,756 ","361,173 ","354,286 ","346,493 ","259,941 ","252,359 ","219,553 ","186,226 ","211,494 ","175,561 ","162,318 ","182,543 ","161,034 ","154,447 ","134,222 ","130,033 ","147,726 ","127,750 ","160,634 ","176,489 ","161,000 ","183,661 ","187,400 ","194,970 ","201,258 ","202,563 ","181,031 ","239,524 ","265,528 ","286,006 ","289,566 ","314,022 ","340,073 ","367,963 ","376,458 ","354,674 ","374,788 ","365,623 ","337,941 ","276,566 ","241,284 ","250,915 ","239,176 ","216,471 ","205,356 ","185,722 ","168,475 ","4,917,539 ","86,438 ","4,767 ","2,462,917 ","3,464,593 ","3,969,564 ","4,309,474 ","4,848,389 ","5,130,401 ","5,957,822 ","7,294,573 ","12,278,527 ","4,625,880 ","13,889,122 ","15,802,538 ","18,167,873 ","4,275,144 "
"Accounts Receivable - Trade, Gross","215,507 ","290,081 ","354,802 ","407,004 ","415,414 ","411,351 ","417,549 ","415,049 ","385,993 ","389,478 ","407,173 ","412,186 ","391,819 ","307,428 ","308,926 ","268,932 ","254,372 ","211,494 ","232,980 ","220,024 ","230,537 ","215,393 ","201,359 ","184,497 ","175,792 ","197,322 ","170,990 ","160,634 ","176,489 ","188,828 ","206,900 ","213,409 ","223,909 ","238,302 ","237,367 ","232,112 ","239,524 ","265,528 ","286,006 ","289,566 ","314,022 ","340,073 ","367,963 ","376,458 ","354,674 ","374,788 ","365,623 ","337,941 ","276,566 ","241,284 ","250,915 ","239,176 ","216,471 ","205,356 ","185,722 ","168,475 ","4,917,539 ","86,438 ","4,767 ","2,462,917 ","3,464,593 ","4,468,781 ","4,812,965 ","5,344,973 ","5,599,989 ","6,415,733 ","7,428,406 ","12,490,449 ","5,551,847 ","14,083,696 ","15,978,480 ","18,397,844 ","5,342,779 "
Provision for Doubtful Accounts,"(19,450)","(27,663)","(24,848)","(34,095)","(34,740)","(40,008)","(49,319)","(45,274)","(50,306)","(46,722)","(46,000)","(57,900)","(45,326)","(47,487)","(56,567)","(49,379)","(68,146)",--,"(57,419)","(57,706)","(47,994)","(54,359)","(46,911)","(50,274)","(45,759)","(49,596)","(43,240)",--,--,"(27,828)","(23,240)","(26,010)","(28,939)","(37,044)","(34,804)","(51,081)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(499,218)","(503,491)","(496,584)","(469,588)","(457,910)","(133,833)","(211,921)","(925,967)","(194,574)","(175,943)","(229,971)","(1,067,635)"
