Stark Corporation PCL                                12-Sep-2024 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
,, Mar-2004, Jun-2004, Sep-2004, Dec-2004, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022
Period End Date,,31-Mar-2004 ,30-Jun-2004 ,30-Sep-2004 ,31-Dec-2004 ,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 
Revenue,,"111,444 ","124,996 ","106,356 ","143,632 ","176,782 ","168,510 ","150,988 ","160,721 ","130,440 ","137,785 ","145,103 ","98,856 ","147,431 ","154,839 ","120,679 ","132,115 ","81,885 ","111,220 ","123,405 ","134,375 ","139,887 ","135,602 ","123,768 ","171,414 ","132,603 ","140,851 ","135,611 ","159,105 ","150,044 ","160,027 ","159,232 ","153,528 ","175,931 ","198,642 ","173,368 ","186,008 ","172,771 ","178,818 ","167,898 ","166,026 ","169,031 ","177,305 ","164,086 ","173,543 ","158,014 ","130,766 ","113,169 ","103,728 ","123,622 ","111,011 ","89,308 ","53,075 ","84,125 ","113,933 ","138,742 ","102,240 ","104,163 ","3,998,407 ","3,053,517 ","4,698,392 ","2,765,937 ","2,997,752 ","2,798,259 ","2,966,904 ","3,021,651 ","4,239,784 ","4,655,172 ","4,941,430 ","4,655,342 ","5,252,311 ","9,777,231 ","(582,283)","6,176,008 ","7,332,142 ","8,344,211 ","3,410,997 "
Net Sales,,"111,444 ","124,996 ","106,356 ","143,632 ","176,782 ","168,510 ","150,988 ","160,721 ","130,440 ","137,785 ","145,103 ","98,856 ","147,431 ","154,839 ","120,679 ","132,115 ","81,885 ","111,220 ","123,405 ","134,375 ","139,887 ","135,602 ","123,768 ","171,414 ","132,603 ","140,851 ","135,611 ","159,105 ","150,044 ","160,027 ","159,232 ","153,528 ","175,931 ","198,642 ","173,368 ","186,008 ","172,771 ","178,818 ","167,898 ","166,026 ","169,031 ","177,305 ","164,086 ","173,543 ","158,014 ","130,766 ","113,169 ","103,728 ","123,622 ","111,011 ","89,308 ","53,075 ","84,125 ","113,933 ","138,742 ","102,240 ","104,163 ","3,998,407 ","3,053,517 ","4,698,392 ","2,765,937 ","2,997,752 ","2,798,259 ","2,966,904 ","3,021,651 ","4,239,784 ","4,655,172 ","4,941,430 ","4,655,342 ","5,252,311 ","9,777,231 ","(582,283)","6,176,008 ","7,332,142 ","8,344,211 ","3,410,997 "
Total Revenue,,"111,444 ","124,996 ","106,356 ","143,632 ","176,782 ","168,510 ","150,988 ","160,721 ","130,440 ","137,785 ","145,103 ","98,856 ","147,431 ","154,839 ","120,679 ","132,115 ","81,885 ","111,220 ","123,405 ","134,375 ","139,887 ","135,602 ","123,768 ","171,414 ","132,603 ","140,851 ","135,611 ","159,105 ","150,044 ","160,027 ","159,232 ","153,528 ","175,931 ","198,642 ","173,368 ","186,008 ","172,771 ","178,818 ","167,898 ","166,026 ","169,031 ","177,305 ","164,086 ","173,543 ","158,014 ","130,766 ","113,169 ","103,728 ","123,622 ","111,011 ","89,308 ","53,075 ","84,125 ","113,933 ","138,742 ","102,240 ","104,163 ","3,998,407 ","3,053,517 ","4,698,392 ","2,765,937 ","2,997,752 ","2,798,259 ","2,966,904 ","3,021,651 ","4,239,784 ","4,655,172 ","4,941,430 ","4,655,342 ","5,252,311 ","9,777,231 ","(582,283)","6,176,008 ","7,332,142 ","8,344,211 ","3,410,997 "
"Cost of Revenue, Total",,"59,174 ","72,559 ","69,285 ","75,419 ","107,123 ","106,618 ","95,117 ","97,834 ","84,905 ","89,548 ","101,563 ","87,787 ","100,419 ","97,015 ","89,694 ","112,380 ","70,404 ","92,686 ","120,676 ","117,916 ","101,612 ","100,035 ","96,521 ","127,282 ","93,626 ","101,711 ","100,418 ","121,037 ","111,721 ","124,737 ","114,383 ","115,906 ","116,661 ","134,847 ","116,675 ","129,726 ","111,595 ","116,753 ","115,237 ","117,198 ","131,488 ","122,889 ","108,156 ","135,076 ","110,235 ","96,480 ","86,317 ","94,274 ","118,507 ","95,645 ","81,890 ","104,635 ","81,802 ","107,988 ","83,645 ","85,987 ","80,552 ","3,494,784 ","2,703,538 ","4,086,266 ","2,365,900 ","2,712,020 ","2,407,187 ","2,617,547 ","2,569,849 ","3,543,654 ","3,777,383 ","4,084,302 ","3,603,071 ","4,382,904 ","7,880,028 ","5,813,514 ","4,991,707 ","5,732,315 ","6,016,737 ","8,389,645 "
Cost of Revenue,,"59,174 ","72,559 ","69,285 ","75,419 ","107,123 ","106,618 ","95,117 ","97,834 ","84,905 ","89,548 ","101,563 ","87,787 ","100,419 ","97,015 ","89,694 ","112,380 ","70,404 ","92,686 ","120,676 ","117,916 ","101,612 ","100,035 ","96,521 ","127,282 ","93,626 ","101,711 ","100,418 ","121,037 ","111,721 ","124,737 ","114,383 ","115,906 ","116,661 ","134,847 ","116,675 ","129,726 ","111,595 ","116,753 ","115,237 ","117,198 ","131,488 ","122,889 ","108,156 ","135,076 ","110,235 ","96,480 ","86,317 ","94,274 ","118,507 ","95,645 ","81,890 ","104,635 ","81,802 ","107,988 ","83,645 ","85,987 ","80,552 ","3,494,784 ","2,703,538 ","4,086,266 ","2,365,900 ","2,712,020 ","2,407,187 ","2,617,547 ","2,569,849 ","3,543,654 ","3,777,383 ","4,084,302 ","3,603,071 ","4,382,904 ","7,880,028 ","5,813,514 ","4,991,707 ","5,732,315 ","6,016,737 ","8,389,645 "
Gross Profit,,"52,270 ","52,437 ","37,071 ","68,213 ","69,659 ","61,892 ","55,871 ","62,887 ","45,535 ","48,237 ","43,540 ","11,069 ","47,012 ","57,824 ","30,985 ","19,735 ","11,481 ","18,534 ","2,729 ","16,459 ","38,275 ","35,567 ","27,247 ","44,132 ","38,977 ","39,140 ","35,193 ","38,068 ","38,323 ","35,290 ","44,848 ","37,622 ","59,270 ","63,795 ","56,693 ","56,282 ","61,176 ","62,065 ","52,661 ","48,828 ","37,542 ","54,416 ","55,931 ","38,466 ","47,779 ","34,286 ","26,852 ","9,454 ","5,115 ","15,366 ","7,418 ","(51,560)","2,323 ","5,944 ","55,097 ","16,253 ","23,611 ","503,622 ","349,979 ","612,125 ","400,037 ","285,732 ","391,072 ","349,356 ","451,802 ","696,129 ","877,789 ","857,128 ","1,052,272 ","869,407 ","1,897,203 ","(6,395,797)","1,184,301 ","1,599,827 ","2,327,473 ","(4,978,648)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selling/General/Admin. Expenses, Total",,"28,824 ","26,836 ","25,566 ","36,607 ","38,035 ","36,928 ","43,931 ","65,663 ","41,659 ","25,049 ","66,581 ","82,498 ","43,396 ","44,587 ","29,920 ","45,420 ","37,989 ","34,917 ","38,079 ","35,604 ","30,560 ","30,426 ","31,029 ","34,723 ","33,927 ","32,626 ","33,697 ","36,955 ","36,526 ","34,440 ","39,306 ","38,335 ","40,502 ","44,358 ","60,402 ","50,606 ","48,327 ","42,871 ","46,649 ","52,239 ","46,204 ","45,108 ","49,321 ","46,229 ","39,454 ","37,515 ","35,239 ","36,270 ","36,107 ","30,736 ","36,024 ","22,243 ","20,501 ","30,477 ","28,965 ","45,606 ","23,948 ","205,279 ","107,324 ","179,845 ","116,287 ","153,743 ","158,131 ","179,279 ","128,678 ","214,276 ","207,898 ","314,737 ","260,182 ","257,670 ","272,727 ","893,501 ","338,284 ","438,109 ","368,120 ","1,649,075 "
Selling/General/Administrative Expense,,"28,824 ","26,476 ","25,386 ","37,147 ","37,855 ","36,748 ","43,751 ","65,483 ","41,479 ","24,869 ","66,401 ","82,843 ","43,216 ","44,247 ","29,710 ","45,210 ","37,989 ","34,917 ","38,079 ","23,389 ","28,040 ","28,110 ","28,760 ","24,186 ","31,620 ","30,116 ","31,222 ","44,248 ","36,526 ","34,440 ","39,306 ","38,335 ","40,502 ","44,358 ","60,402 ","50,606 ","48,327 ","42,871 ","46,649 ","52,239 ","46,204 ","45,108 ","49,321 ","46,229 ","39,454 ","37,515 ","35,239 ","36,270 ","36,107 ","30,736 ","36,024 ","22,243 ","20,501 ","30,477 ","28,965 ","45,606 ","23,948 ","205,279 ","107,324 ","179,845 ","116,287 ","153,743 ","158,131 ","179,279 ","128,678 ","214,276 ","207,898 ","314,737 ","260,182 ","257,670 ","272,727 ","893,501 ","338,284 ","438,109 ","368,120 ","1,649,075 "
Labor & Related Expense,,0 ,360 ,180 ,(540),180 ,180 ,180 ,180 ,180 ,180 ,180 ,(345),180 ,340 ,210 ,210 ,--,--,--,"12,215 ","2,520 ","2,316 ","2,270 ","10,537 ","2,307 ","2,510 ","2,476 ","(7,293)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
