Thachang Green Energy PCL | Price History                                          25-Sep-2024 16:13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TGE.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"9,014,458,700",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
4.00 - 4.50,,,0,0.00%,,,,,,,,,,,
3.50 - 4.00,"551,651,000",6.02%,3,2.70%,,,,,,,,,,,
3.00 - 3.50,"573,356,900",6.26%,17,15.32%,,,,,,,,,,,
2.50 - 3.00,"241,182,200",2.63%,14,12.61%,,,,,,,,,,,
2.00 - 2.50,"952,367,600",10.40%,18,16.22%,,,,,,,,,,,
1.50 - 2.00,"6,546,814,300",71.49%,45,40.54%,,,,,,,,,,,
1.00 - 1.50,"149,086,700",1.63%,13,11.71%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TGE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,5.05,19-ม.ค.-2024,Max,"1,549,802,400",26-ส.ค.-2022,Advancing,"4,158,147,300",Up,45,Up,+39.42%,29-ธ.ค.-2023,Max,"2,949,951,275.00",26-ส.ค.-2022
Low,1.20,11-ส.ค.-2023,Min,"688,000",02-ส.ค.-2024,Declining,"3,440,509,200",Down,55,Down,-21.33%,19-ม.ค.-2024,Min,"1,571,226.00",02-ส.ค.-2024
Avg,2.21,,Avg,"82,496,656",,Total,"9,157,128,800",Unch,10,Period,+48.72%,10 Years,Avg,"179,244,948.08",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TGE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,2.90,-0.08,-2.68%,3.00,2.84,3.02,"1,658,600","4,868,738.00","1,741,731,341.00",,,,,,
20-ก.ย.-2024,2.98,+0.28,+10.37%,2.70,2.62,2.98,"8,287,600","23,264,104.00","1,746,600,079.00",,,,,,
13-ก.ย.-2024,2.70,0.00,0.00%,2.70,2.64,2.76,"3,237,200","8,717,542.00","1,723,335,975.00",,,,,,
06-ก.ย.-2024,2.70,+0.14,+5.47%,2.54,2.54,2.80,"6,235,400","16,702,420.00","1,714,618,433.00",,,,,,
30-ส.ค.-2024,2.56,+0.10,+4.07%,2.50,2.28,2.60,"2,585,400","6,433,782.00","1,697,916,013.00",,,,,,
23-ส.ค.-2024,2.46,+0.28,+12.84%,2.20,2.20,2.66,"3,619,700","8,888,032.00","1,691,482,231.00",,,,,,
16-ส.ค.-2024,2.18,+0.02,+0.93%,2.20,2.14,2.22,"900,500","1,967,888.00","1,682,594,199.00",,,,,,
09-ส.ค.-2024,2.16,-0.10,-4.42%,2.22,2.16,2.22,"1,246,500","2,722,544.00","1,680,626,311.00",,,,,,
02-ส.ค.-2024,2.26,-0.02,-0.88%,2.30,2.18,2.34,"688,000","1,571,226.00","1,683,348,855.00",,,,,,
26-ก.ค.-2024,2.28,-0.30,-11.63%,2.68,2.18,2.68,"2,606,900","6,036,606.00","1,684,920,081.00",,,,,,
19-ก.ค.-2024,2.58,-0.08,-3.01%,2.66,2.58,2.74,"1,428,400","3,784,180.00","1,690,956,687.00",,,,,,
12-ก.ค.-2024,2.66,0.00,0.00%,2.76,2.60,2.80,"1,729,600","4,681,016.00","1,694,740,867.00",,,,,,
05-ก.ค.-2024,2.66,-0.14,-5.00%,2.78,2.58,2.86,"3,524,100","9,491,338.00","1,699,421,883.00",,,,,,
28-มิ.ย.-2024,2.80,+0.12,+4.48%,2.70,2.66,2.82,"5,140,000","14,146,370.00","1,708,913,221.00",,,,,,
21-มิ.ย.-2024,2.68,-0.04,-1.47%,2.72,2.46,2.76,"18,381,400","47,933,116.00","1,694,766,851.00",,,,,,
14-มิ.ย.-2024,2.72,-0.24,-8.11%,2.80,2.72,3.04,"10,226,400","28,775,354.00","1,742,699,967.00",,,,,,
07-มิ.ย.-2024,2.96,-0.14,-4.52%,3.06,2.78,3.14,"8,184,600","24,514,714.00","1,771,475,321.00",,,,,,
31-พ.ค.-2024,3.10,-0.02,-0.64%,3.12,3.06,3.36,"13,596,900","43,533,646.00","1,795,990,035.00",,,,,,
24-พ.ค.-2024,3.12,-0.22,-6.59%,3.38,3.10,3.38,"7,250,200","23,419,226.00","1,839,523,681.00",,,,,,
17-พ.ค.-2024,3.34,+0.06,+1.83%,3.24,3.22,3.46,"12,068,500","40,609,820.00","1,862,942,907.00",,,,,,
10-พ.ค.-2024,3.28,-0.06,-1.80%,3.40,3.18,3.54,"20,926,100","70,495,798.00","1,822,333,087.00",,,,,,
03-พ.ค.-2024,3.34,+0.26,+8.44%,3.14,3.10,3.68,"34,542,200","118,828,062.00","1,892,828,885.00",,,,,,
26-เม.ย.-2024,3.08,+0.06,+1.99%,3.06,3.04,3.18,"5,530,700","17,092,878.00","1,774,000,823.00",,,,,,
19-เม.ย.-2024,3.02,-0.30,-9.04%,3.32,2.94,3.32,"5,769,900","18,139,506.00","1,756,907,945.00",,,,,,
12-เม.ย.-2024,3.32,+0.22,+7.10%,3.12,3.12,3.36,"7,535,800","24,392,300.00","1,775,047,451.00",,,,,,
05-เม.ย.-2024,3.10,-0.02,-0.64%,3.16,3.02,3.20,"10,941,200","33,887,844.00","1,750,655,151.00",,,,,,
29-มี.ค.-2024,3.12,-0.04,-1.27%,3.14,3.10,3.34,"12,587,200","40,357,888.00","1,784,542,995.00",,,,,,
22-มี.ค.-2024,3.16,-0.16,-4.82%,3.36,3.16,3.54,"34,859,700","115,857,172.00","1,824,900,883.00",,,,,,
15-มี.ค.-2024,3.32,-0.26,-7.26%,3.52,3.32,3.76,"46,361,600","167,446,968.00","1,940,758,055.00",,,,,,
08-มี.ค.-2024,3.58,+0.32,+9.82%,3.30,3.30,4.10,"209,333,800","790,972,948.00","2,108,205,023.00",,,,,,
01-มี.ค.-2024,3.26,-0.04,-1.21%,3.34,3.12,3.38,"30,892,600","100,579,490.00","1,317,232,075.00",,,,,,
23-ก.พ.-2024,3.30,+0.10,+3.12%,3.20,2.96,3.40,"51,790,400","164,582,426.00","1,417,811,565.00",,,,,,
16-ก.พ.-2024,3.20,+0.18,+5.96%,3.06,3.02,3.34,"78,526,300","255,824,652.00","1,253,229,139.00",,,,,,
09-ก.พ.-2024,3.02,+0.04,+1.34%,3.00,2.94,3.16,"40,050,000","122,663,812.00","997,404,487.00",,,,,,
02-ก.พ.-2024,2.98,-0.26,-8.02%,3.24,2.94,3.48,"37,603,700","120,264,822.00","874,740,675.00",,,,,,
26-ม.ค.-2024,3.24,-0.30,-8.47%,3.64,2.86,3.86,"160,127,600","545,786,060.00","995,005,497.00",,,,,,
19-ม.ค.-2024,3.54,-0.96,-21.33%,4.60,3.44,5.05,"190,023,500","815,501,467.00","1,540,791,557.00",,,,,,
12-ม.ค.-2024,4.50,+0.74,+19.68%,3.80,3.60,4.86,"142,670,100","589,502,644.00","2,356,293,024.00",,,,,,
05-ม.ค.-2024,3.76,+0.86,+29.66%,2.90,2.88,4.22,"152,293,700","542,018,158.00","1,766,790,380.00",,,,,,
29-ธ.ค.-2023,2.90,+0.82,+39.42%,2.10,2.10,2.96,"132,959,800","355,100,934.00","1,224,772,222.00",,,,,,
22-ธ.ค.-2023,2.08,+0.06,+2.97%,2.02,2.00,2.16,"18,176,200","37,983,996.00","869,671,288.00",,,,,,
15-ธ.ค.-2023,2.02,0.00,0.00%,2.04,1.99,2.08,"15,662,300","31,491,154.00","831,687,292.00",,,,,,
08-ธ.ค.-2023,2.02,+0.02,+1.00%,1.98,1.90,2.04,"11,822,000","23,199,441.00","800,196,138.00",,,,,,
01-ธ.ค.-2023,2.00,0.00,0.00%,1.99,1.87,2.12,"28,335,500","57,219,676.00","776,996,697.00",,,,,,
24-พ.ย.-2023,2.00,-0.02,-0.99%,2.02,1.97,2.10,"18,269,700","36,860,147.00","834,216,373.00",,,,,,
17-พ.ย.-2023,2.02,-0.02,-0.98%,2.06,1.97,2.12,"28,446,900","57,889,895.00","871,076,520.00",,,,,,
10-พ.ย.-2023,2.04,0.00,0.00%,2.06,1.96,2.20,"78,805,300","163,513,589.00","928,966,415.00",,,,,,
03-พ.ย.-2023,2.04,+0.13,+6.81%,1.91,1.88,2.10,"70,396,000","140,078,010.00","765,452,826.00",,,,,,
27-ต.ค.-2023,1.91,+0.04,+2.14%,1.87,1.81,1.98,"35,014,900","66,788,060.00","625,374,816.00",,,,,,
20-ต.ค.-2023,1.87,-0.03,-1.58%,1.90,1.86,1.98,"38,878,700","74,821,174.00","558,586,756.00",,,,,,
13-ต.ค.-2023,1.90,-0.03,-1.55%,1.93,1.79,1.95,"46,398,000","87,343,920.00","633,407,930.00",,,,,,
06-ต.ค.-2023,1.93,+0.19,+10.92%,1.76,1.74,1.94,"77,887,200","145,065,188.00","720,751,850.00",,,,,,
29-ก.ย.-2023,1.74,+0.20,+12.99%,1.53,1.52,1.78,"68,825,400","114,550,053.00","575,686,662.00",,,,,,
22-ก.ย.-2023,1.54,+0.12,+8.45%,1.43,1.37,1.55,"9,933,100","14,769,150.00","461,136,609.00",,,,,,
15-ก.ย.-2023,1.42,-0.04,-2.74%,1.45,1.41,1.47,"5,773,700","8,291,147.00","446,367,459.00",,,,,,
08-ก.ย.-2023,1.46,-0.02,-1.35%,1.47,1.45,1.53,"8,717,100","12,951,125.00","454,658,606.00",,,,,,
01-ก.ย.-2023,1.48,+0.03,+2.07%,1.44,1.41,1.58,"18,348,300","27,427,065.00","467,609,731.00",,,,,,
25-ส.ค.-2023,1.45,+0.14,+10.69%,1.31,1.31,1.48,"24,075,400","33,706,912.00","440,182,666.00",,,,,,
18-ส.ค.-2023,1.31,+0.05,+3.97%,1.27,1.26,1.43,"20,546,000","27,723,810.00","406,475,754.00",,,,,,
11-ส.ค.-2023,1.26,0.00,0.00%,1.27,1.20,1.28,"10,187,800","12,592,521.00","378,751,944.00",,,,,,
04-ส.ค.-2023,1.26,-0.02,-1.56%,1.27,1.26,1.32,"6,500,700","8,376,045.00","391,344,465.00",,,,,,
28-ก.ค.-2023,1.28,-0.01,-0.78%,1.30,1.25,1.31,"4,043,300","5,143,347.00","399,720,510.00",,,,,,
21-ก.ค.-2023,1.29,-0.01,-0.77%,1.32,1.27,1.38,"5,742,300","7,589,994.00","404,863,857.00",,,,,,
14-ก.ค.-2023,1.30,-0.03,-2.26%,1.34,1.24,1.35,"7,410,700","9,657,558.00","412,453,851.00",,,,,,
07-ก.ค.-2023,1.33,-0.09,-6.34%,1.42,1.32,1.44,"7,066,800","9,660,956.00","422,111,409.00",,,,,,
30-มิ.ย.-2023,1.42,-0.05,-3.40%,1.47,1.32,1.48,"8,279,000","11,652,628.00","431,772,365.00",,,,,,
23-มิ.ย.-2023,1.47,-0.15,-9.26%,1.63,1.46,1.63,"22,395,600","34,771,913.00","443,424,993.00",,,,,,
16-มิ.ย.-2023,1.62,-0.03,-1.82%,1.68,1.61,1.68,"16,726,000","27,405,529.00","478,196,906.00",,,,,,
09-มิ.ย.-2023,1.65,+0.01,+0.61%,1.64,1.64,1.69,"10,759,600","17,866,235.00","505,602,435.00",,,,,,
02-มิ.ย.-2023,1.64,+0.02,+1.23%,1.62,1.62,1.71,"20,285,900","33,535,370.00","487,736,200.00",,,,,,
26-พ.ค.-2023,1.62,-0.02,-1.22%,1.63,1.60,1.69,"13,080,900","21,443,331.00","454,200,830.00",,,,,,
19-พ.ค.-2023,1.64,-0.13,-7.34%,1.77,1.61,1.77,"36,031,100","60,157,094.00","475,644,161.00",,,,,,
12-พ.ค.-2023,1.77,0.00,0.00%,1.78,1.72,1.87,"42,678,800","76,703,724.00","535,801,255.00",,,,,,
05-พ.ค.-2023,1.77,-0.09,-4.84%,1.81,1.74,1.86,"14,589,600","26,139,768.00","612,504,979.00",,,,,,
28-เม.ย.-2023,1.86,-0.18,-8.82%,2.02,1.85,2.10,"44,707,800","87,560,262.00","638,644,747.00",,,,,,
21-เม.ย.-2023,2.04,-0.06,-2.86%,2.12,2.02,2.20,"50,238,200","105,914,652.00","726,205,009.00",,,,,,
14-เม.ย.-2023,2.10,+0.04,+1.94%,2.04,1.99,2.12,"28,204,400","57,370,903.00","832,119,661.00",,,,,,
07-เม.ย.-2023,2.06,-0.08,-3.74%,2.16,2.04,2.24,"118,683,500","256,231,120.00","774,748,758.00",,,,,,
31-มี.ค.-2023,2.14,+0.21,+10.88%,1.92,1.90,2.22,"221,665,300","454,279,375.00","1,030,979,878.00",,,,,,
24-มี.ค.-2023,1.93,+0.21,+12.21%,1.73,1.70,1.93,"97,614,900","182,968,108.00","576,700,503.00",,,,,,
17-มี.ค.-2023,1.72,0.00,0.00%,1.71,1.66,1.72,"16,607,300","27,982,493.00","393,732,395.00",,,,,,
10-มี.ค.-2023,1.72,-0.04,-2.27%,1.77,1.71,1.77,"9,074,800","15,741,641.00","421,714,888.00",,,,,,
03-มี.ค.-2023,1.76,-0.01,-0.56%,1.77,1.74,1.80,"17,064,300","30,180,589.00","437,456,529.00",,,,,,
24-ก.พ.-2023,1.77,+0.05,+2.91%,1.73,1.72,1.77,"7,608,400","13,317,386.00","467,637,118.00",,,,,,
