Thachang Green Energy PCL | Income Statement                                25-Sep-2024 16:14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,
,2020,,2021,,,,2022,,,,2023,,,,2024,
, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,53 ,62 ,N/A ,64 ,30 ,34 ,31 ,48 ,44 ,55 
Period End Date,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"164,314 ","159,959 ","163,939 ","185,858 ","212,488 ","218,878 ","221,793 ","230,430 ","231,736 ","254,901 ","234,850 ","235,308 ","229,156 ","211,846 ","258,165 ","237,889 "
Net Sales,"164,314 ","159,959 ","163,939 ","185,858 ","212,488 ","218,878 ","221,793 ","230,430 ","231,736 ","254,901 ","234,850 ","235,308 ","229,156 ","211,846 ","258,165 ","237,889 "
Total Revenue,"164,314 ","159,959 ","163,939 ","185,858 ","212,488 ","218,878 ","221,793 ","230,430 ","231,736 ","254,901 ","234,850 ","235,308 ","229,156 ","211,846 ","258,165 ","237,889 "
"Cost of Revenue, Total","100,259 ","109,421 ","101,221 ","118,412 ","129,125 ","153,819 ","147,451 ","153,427 ","156,494 ","173,884 ","149,739 ","151,827 ","156,697 ","145,887 ","167,717 ","151,501 "
Cost of Revenue,"100,259 ","109,421 ","101,221 ","118,412 ","129,125 ","153,819 ","147,451 ","153,427 ","156,494 ","173,884 ","149,739 ","151,827 ","156,697 ","145,887 ","167,717 ","151,501 "
Gross Profit,"64,055 ","50,538 ","62,719 ","67,446 ","83,363 ","65,059 ","74,342 ","77,002 ","75,242 ","81,017 ","85,112 ","83,480 ","72,459 ","65,958 ","90,447 ","86,388 "
,,,,,,,,,,,,,,,,
"Selling/General/Admin. Expenses, Total","7,455 ","6,667 ","7,820 ","8,167 ","7,200 ","29,898 ","21,642 ","10,051 ","12,472 ","12,574 ","11,186 ","13,335 ","16,121 ","12,741 ","11,330 ","14,018 "
Selling/General/Administrative Expense,"7,455 ","6,667 ","7,820 ","8,167 ","7,200 ","29,898 ","21,642 ","10,051 ","12,472 ","12,574 ","11,186 ","13,335 ","16,121 ","12,741 ","11,330 ","14,018 "
Interest/Investment Income - Operating,202 ,(639),749 ,32 ,845 ,154 ,(74),956 ,"1,128 ","(1,445)",2 ,644 ,422 ,"(1,012)",972 ,164 
Investment Income - Operating,202 ,(639),749 ,32 ,845 ,154 ,(74),956 ,"1,128 ","(1,445)",2 ,644 ,422 ,"(1,012)",972 ,164 
"Interest Exp.(Inc.),Net-Operating, Total",202 ,(639),749 ,32 ,845 ,154 ,(74),956 ,"1,128 ","(1,445)",2 ,644 ,422 ,"(1,012)",972 ,164 
"Other Operating Expenses, Total",(340),"(4,154)",(364),(476),(357),"(25,144)","(11,516)","(4,140)",(417),"(1,384)",(603),"(1,871)","(29,599)","(5,161)",(836),"(5,445)"
"Other, Net",(340),"(4,154)",(364),(476),(357),"(25,144)","(11,516)","(4,140)",(417),"(1,384)",(603),"(1,871)","(29,599)","(5,161)",(836),"(5,445)"
Total Operating Expense,"107,575 ","111,294 ","109,425 ","126,135 ","136,814 ","158,727 ","157,503 ","160,294 ","169,677 ","183,630 ","160,323 ","163,935 ","143,642 ","152,456 ","179,184 ","160,239 "
Operating Income,"56,740 ","48,664 ","54,515 ","59,723 ","75,675 ","60,151 ","64,289 ","70,135 ","62,059 ","71,271 ","74,527 ","71,372 ","85,515 ","59,390 ","78,981 ","77,650 "
"Interest Expense, Net Non-Operating","(10,896)","(10,983)","(9,882)","(11,187)","(13,528)","(13,014)","(12,478)","(13,173)","(14,177)","(10,756)","(11,494)","(11,953)","(12,008)","(12,042)","(11,180)","(10,453)"
Interest Expense - Non-Operating,"(10,896)","(10,983)","(9,882)","(11,187)","(13,528)","(13,014)","(12,478)","(13,173)","(14,177)","(10,756)","(11,494)","(11,953)","(12,008)","(12,042)","(11,180)","(10,453)"
"Interest Inc.(Exp.),Net-Non-Op., Total","(10,896)","(10,983)","(9,882)","(11,187)","(13,528)","(13,014)","(12,478)","(13,173)","(14,177)","(10,756)","(11,494)","(11,953)","(12,008)","(12,042)","(11,180)","(10,453)"
