TPI Polene Power PCL | Price History                                          25-Sep-2024 16:45,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TPIPP.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"22,096,689,800",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
8.00 - 9.00,"1,169,460,000",5.29%,7,1.79%,,,,,,,,,,,
7.00 - 8.00,"4,665,827,300",21.12%,30,7.67%,,,,,,,,,,,
6.00 - 7.00,"6,434,710,800",29.12%,76,19.44%,,,,,,,,,,,
5.00 - 6.00,"912,151,100",4.13%,15,3.84%,,,,,,,,,,,
4.00 - 5.00,"6,190,501,300",28.02%,113,28.90%,,,,,,,,,,,
3.00 - 4.00,"2,561,992,900",11.59%,142,36.32%,,,,,,,,,,,
2.00 - 3.00,"162,046,400",0.73%,8,2.05%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TPIPP.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,8.45,10-พ.ย.-2017,Max,"909,573,800",07-เม.ย.-2017,Advancing,"9,931,687,600",Up,159,Up,+14.57%,01-พ.ย.-2019,Max,"6,196,133,600.00",07-เม.ย.-2017
Low,2.70,09-ส.ค.-2024,Min,"3,239,000",12-เม.ย.-2024,Declining,"9,228,064,000",Down,173,Down,-21.74%,13-มี.ค.-2020,Min,"10,700,434.00",12-เม.ย.-2024
Avg,4.74,,Avg,"56,513,273",,Total,"22,096,689,800",Unch,58,Period,-53.73%,10 Years,Avg,"329,533,331.01",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TPIPP.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
27-ก.ย.-2024,3.10,+0.08,+2.65%,3.04,3.02,3.10,"13,992,500","42,854,832.00","4,682,424,292.00",,,,,,
20-ก.ย.-2024,3.02,0.00,0.00%,3.04,3.00,3.04,"10,958,500","33,180,932.00","4,639,569,460.00",,,,,,
13-ก.ย.-2024,3.02,-0.08,-2.58%,3.12,2.98,3.14,"22,994,400","70,478,820.00","4,672,750,392.00",,,,,,
06-ก.ย.-2024,3.10,+0.12,+4.03%,2.98,2.96,3.12,"12,789,400","38,860,446.00","4,743,229,212.00",,,,,,
