TPI Polene Power PCL | Income Statement                                25-Sep-2024 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
, Mar-2015, Jun-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024, Jun-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,16 ,14 ,17 ,11 ,N/A ,5 ,11 ,21 ,22 ,23 ,23 ,22 ,18 ,10 ,10 ,11 ,13 ,34 ,30 ,24 ,27 ,24 ,19 ,30 ,26 ,18 ,21 ,22 ,18 ,33 ,19 
Period End Date,31-Mar-2015 ,30-Jun-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 ,30-Jun-2024 
Revenue,"591,691 ","565,434 ","1,135,308 ","1,120,224 ","897,805 ","1,214,823 ","1,166,550 ","1,241,125 ","1,143,190 ","1,313,949 ","1,350,275 ","1,879,479 ","2,106,567 ","2,283,486 ","2,429,609 ","2,576,629 ","2,686,605 ","2,878,358 ","2,534,849 ","2,794,135 ","3,011,194 ","2,779,172 ","2,650,155 ","2,923,850 ","2,878,178 ","2,621,649 ","2,787,592 ","2,556,878 ","2,320,729 ","2,534,775 ","2,940,026 ","2,930,436 ","2,437,110 ","2,682,242 ","2,558,549 ","2,696,800 "
Net Sales,"591,691 ","565,434 ","1,135,308 ","1,120,224 ","897,805 ","1,214,823 ","1,166,550 ","1,241,125 ","1,143,190 ","1,313,949 ","1,350,275 ","1,879,479 ","2,106,567 ","2,283,486 ","2,429,609 ","2,576,629 ","2,686,605 ","2,878,358 ","2,534,849 ","2,794,135 ","3,011,194 ","2,779,172 ","2,650,155 ","2,923,850 ","2,878,178 ","2,621,649 ","2,787,592 ","2,556,878 ","2,320,729 ","2,534,775 ","2,940,026 ","2,930,436 ","2,437,110 ","2,682,242 ","2,558,549 ","2,696,800 "
Total Revenue,"591,691 ","565,434 ","1,135,308 ","1,120,224 ","897,805 ","1,214,823 ","1,166,550 ","1,241,125 ","1,143,190 ","1,313,949 ","1,350,275 ","1,879,479 ","2,106,567 ","2,283,486 ","2,429,609 ","2,576,629 ","2,686,605 ","2,878,358 ","2,534,849 ","2,794,135 ","3,011,194 ","2,779,172 ","2,650,155 ","2,923,850 ","2,878,178 ","2,621,649 ","2,787,592 ","2,556,878 ","2,320,729 ","2,534,775 ","2,940,026 ","2,930,436 ","2,437,110 ","2,682,242 ","2,558,549 ","2,696,800 "
"Cost of Revenue, Total","409,877 ","363,073 ","503,608 ","548,641 ","546,620 ","666,140 ","475,499 ","533,848 ","535,033 ","683,155 ","652,411 ","801,074 ","1,046,578 ","1,151,367 ","1,337,453 ","1,244,959 ","1,438,282 ","1,509,036 ","1,409,507 ","1,547,320 ","1,624,793 ","1,446,037 ","1,364,840 ","1,495,029 ","1,769,972 ","1,556,888 ","1,913,089 ","1,664,926 ","1,673,349 ","1,933,137 ","1,799,910 ","1,894,910 ","1,460,433 ","1,823,157 ","1,655,030 ","1,727,417 "
Cost of Revenue,"409,877 ","363,073 ","503,608 ","548,641 ","546,620 ","666,140 ","475,499 ","533,848 ","535,033 ","683,155 ","652,411 ","801,074 ","1,046,578 ","1,151,367 ","1,337,453 ","1,244,959 ","1,438,282 ","1,509,036 ","1,409,507 ","1,547,320 ","1,624,793 ","1,446,037 ","1,364,840 ","1,495,029 ","1,769,972 ","1,556,888 ","1,913,089 ","1,664,926 ","1,673,349 ","1,933,137 ","1,799,910 ","1,894,910 ","1,460,433 ","1,823,157 ","1,655,030 ","1,727,417 "
Gross Profit,"181,814 ","202,361 ","631,700 ","571,583 ","351,185 ","548,683 ","691,051 ","707,277 ","608,157 ","630,794 ","697,864 ","1,078,405 ","1,059,989 ","1,132,119 ","1,092,156 ","1,331,670 ","1,248,323 ","1,369,322 ","1,125,342 ","1,246,815 ","1,386,401 ","1,333,135 ","1,285,315 ","1,428,821 ","1,108,206 ","1,064,761 ","874,503 ","891,952 ","647,380 ","601,638 ","1,140,116 ","1,035,526 ","976,677 ","859,085 ","903,519 ","969,383 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selling/General/Admin. Expenses, Total","21,085 ","26,800 ","48,715 ","47,872 ","53,794 ","40,199 ","47,889 ","49,716 ","77,229 ","77,757 ","78,976 ","55,467 ","88,547 ","162,330 ","122,635 ","140,124 ","112,109 ","132,961 ","110,209 ","128,784 ","108,392 ","151,781 ","168,935 ","195,196 ","150,979 ","132,141 ","102,382 ","122,469 ","130,249 ","168,667 ","144,581 ","132,257 ","117,857 ","142,731 ","119,216 ","131,421 "
