Tirathai PCL | Income Statement                                25-Sep-2024 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
, Mar-2005, Jun-2005, Sep-2005, Dec-2005, Mar-2006, Jun-2006, Sep-2006, Dec-2006, Mar-2007, Jun-2007, Sep-2007, Dec-2007, Mar-2008, Jun-2008, Sep-2008, Dec-2008, Mar-2009, Jun-2009, Sep-2009, Dec-2009, Mar-2010, Jun-2010, Sep-2010, Dec-2010, Mar-2011, Jun-2011, Sep-2011, Dec-2011, Mar-2012, Jun-2012, Sep-2012, Dec-2012, Mar-2013, Jun-2013, Sep-2013, Dec-2013, Mar-2014, Jun-2014, Sep-2014, Dec-2014, Mar-2015, Jun-2015, Sep-2015, Dec-2015, Mar-2016, Jun-2016, Sep-2016, Dec-2016, Mar-2017, Jun-2017, Sep-2017, Dec-2017, Mar-2018, Jun-2018, Sep-2018, Dec-2018, Mar-2019, Jun-2019, Sep-2019, Dec-2019, Mar-2020, Jun-2020, Sep-2020, Dec-2020, Mar-2021, Jun-2021, Sep-2021, Dec-2021, Mar-2022, Jun-2022, Sep-2022, Dec-2022, Mar-2023, Jun-2023, Sep-2023, Dec-2023, Mar-2024
Earnings Quality Score,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,90 ,77 ,43 ,4 ,6 ,9 ,2 ,1 ,3 ,4 ,3 ,11 ,31 ,41 ,56 ,44 ,51 ,57 ,38 ,60 ,50 ,20 ,57 ,9 ,7 ,11 ,27 ,73 ,89 ,93 ,49 ,N/A ,26 ,N/A ,4 ,N/A ,2 ,N/A ,12 ,19 
Period End Date,31-Mar-2005 ,30-Jun-2005 ,30-Sep-2005 ,31-Dec-2005 ,31-Mar-2006 ,30-Jun-2006 ,30-Sep-2006 ,31-Dec-2006 ,31-Mar-2007 ,30-Jun-2007 ,30-Sep-2007 ,31-Dec-2007 ,31-Mar-2008 ,30-Jun-2008 ,30-Sep-2008 ,31-Dec-2008 ,31-Mar-2009 ,30-Jun-2009 ,30-Sep-2009 ,31-Dec-2009 ,31-Mar-2010 ,30-Jun-2010 ,30-Sep-2010 ,31-Dec-2010 ,31-Mar-2011 ,30-Jun-2011 ,30-Sep-2011 ,31-Dec-2011 ,31-Mar-2012 ,30-Jun-2012 ,30-Sep-2012 ,31-Dec-2012 ,31-Mar-2013 ,30-Jun-2013 ,30-Sep-2013 ,31-Dec-2013 ,31-Mar-2014 ,30-Jun-2014 ,30-Sep-2014 ,31-Dec-2014 ,31-Mar-2015 ,30-Jun-2015 ,30-Sep-2015 ,31-Dec-2015 ,31-Mar-2016 ,30-Jun-2016 ,30-Sep-2016 ,31-Dec-2016 ,31-Mar-2017 ,30-Jun-2017 ,30-Sep-2017 ,31-Dec-2017 ,31-Mar-2018 ,30-Jun-2018 ,30-Sep-2018 ,31-Dec-2018 ,31-Mar-2019 ,30-Jun-2019 ,30-Sep-2019 ,31-Dec-2019 ,31-Mar-2020 ,30-Jun-2020 ,30-Sep-2020 ,31-Dec-2020 ,31-Mar-2021 ,30-Jun-2021 ,30-Sep-2021 ,31-Dec-2021 ,31-Mar-2022 ,30-Jun-2022 ,30-Sep-2022 ,31-Dec-2022 ,31-Mar-2023 ,30-Jun-2023 ,30-Sep-2023 ,31-Dec-2023 ,31-Mar-2024 
Revenue,"328,454 ","336,382 ","207,159 ","206,994 ","275,287 ","399,117 ","409,215 ","558,242 ","179,645 ","462,394 ","344,000 ","423,397 ","474,853 ","440,658 ","200,916 ","989,752 ","661,108 ","599,552 ","263,302 ","699,197 ","437,508 ","296,867 ","397,606 ","360,055 ","366,230 ","534,182 ","523,565 ","430,704 ","205,875 ","490,859 ","641,571 ","582,856 ","452,671 ","753,239 ","569,154 ","742,828 ","415,813 ","404,034 ","427,510 ","884,273 ","530,912 ","405,521 ","537,216 ","750,320 ","574,487 ","582,920 ","653,128 ","725,981 ","608,309 ","457,118 ","569,618 ","794,722 ","533,369 ","613,694 ","593,419 ","875,429 ","543,479 ","477,847 ","577,374 ","817,281 ","454,326 ","412,067 ","589,805 ","1,082,682 ","372,788 ","570,396 ","499,305 ","578,873 ","436,169 ","320,726 ","506,541 ","430,383 ","390,289 ","401,498 ","579,113 ","713,331 ","797,664 "
Net Sales,"328,454 ","336,382 ","207,159 ","206,994 ","275,287 ","399,117 ","409,215 ","558,242 ","179,645 ","462,394 ","344,000 ","423,397 ","474,853 ","440,658 ","200,916 ","989,752 ","661,108 ","599,552 ","263,302 ","699,197 ","437,508 ","296,867 ","397,606 ","360,055 ","366,230 ","534,182 ","523,565 ","430,704 ","205,875 ","490,859 ","641,571 ","582,856 ","452,671 ","753,239 ","569,154 ","742,828 ","415,813 ","404,034 ","427,510 ","884,273 ","530,912 ","405,521 ","537,216 ","750,320 ","574,487 ","582,920 ","653,128 ","725,981 ","608,309 ","457,118 ","569,618 ","794,722 ","533,369 ","613,694 ","593,419 ","875,429 ","543,479 ","477,847 ","577,374 ","817,281 ","454,326 ","412,067 ","589,805 ","1,082,682 ","372,788 ","570,396 ","499,305 ","578,873 ","436,169 ","320,726 ","506,541 ","430,383 ","390,289 ","401,498 ","579,113 ","713,331 ","797,664 "
Total Revenue,"328,454 ","336,382 ","207,159 ","206,994 ","275,287 ","399,117 ","409,215 ","558,242 ","179,645 ","462,394 ","344,000 ","423,397 ","474,853 ","440,658 ","200,916 ","989,752 ","661,108 ","599,552 ","263,302 ","699,197 ","437,508 ","296,867 ","397,606 ","360,055 ","366,230 ","534,182 ","523,565 ","430,704 ","205,875 ","490,859 ","641,571 ","582,856 ","452,671 ","753,239 ","569,154 ","742,828 ","415,813 ","404,034 ","427,510 ","884,273 ","530,912 ","405,521 ","537,216 ","750,320 ","574,487 ","582,920 ","653,128 ","725,981 ","608,309 ","457,118 ","569,618 ","794,722 ","533,369 ","613,694 ","593,419 ","875,429 ","543,479 ","477,847 ","577,374 ","817,281 ","454,326 ","412,067 ","589,805 ","1,082,682 ","372,788 ","570,396 ","499,305 ","578,873 ","436,169 ","320,726 ","506,541 ","430,383 ","390,289 ","401,498 ","579,113 ","713,331 ","797,664 "
"Cost of Revenue, Total","259,133 ","227,606 ","154,764 ","167,138 ","224,099 ","332,703 ","319,072 ","441,541 ","164,561 ","358,577 ","216,191 ","265,915 ","378,163 ","325,287 ","127,330 ","690,493 ","487,420 ","436,836 ","210,740 ","512,832 ","286,281 ","225,171 ","295,930 ","253,359 ","260,812 ","405,829 ","334,041 ","298,884 ","175,824 ","350,840 ","541,193 ","478,730 ","324,060 ","586,415 ","458,233 ","491,242 ","309,439 ","326,775 ","350,225 ","636,898 ","432,758 ","421,190 ","403,571 ","556,453 ","410,774 ","412,787 ","523,993 ","531,451 ","490,538 ","383,114 ","500,111 ","567,549 ","400,317 ","488,691 ","478,403 ","675,648 ","459,962 ","342,752 ","449,889 ","495,722 ","382,788 ","342,706 ","492,451 ","861,408 ","314,659 ","438,209 ","334,431 ","466,190 ","386,813 ","300,958 ","437,260 ","378,225 ","337,001 ","348,806 ","358,914 ","506,490 ","550,434 "
Cost of Revenue,"259,133 ","227,606 ","154,764 ","167,138 ","224,099 ","332,703 ","319,072 ","441,541 ","164,561 ","358,577 ","216,191 ","265,915 ","378,163 ","325,287 ","127,330 ","690,493 ","487,420 ","436,836 ","210,740 ","512,832 ","286,281 ","225,171 ","295,930 ","253,359 ","260,812 ","405,829 ","334,041 ","298,884 ","175,824 ","350,840 ","541,193 ","478,730 ","324,060 ","586,415 ","458,233 ","491,242 ","309,439 ","326,775 ","350,225 ","636,898 ","432,758 ","421,190 ","403,571 ","556,453 ","410,774 ","412,787 ","523,993 ","531,451 ","490,538 ","383,114 ","500,111 ","567,549 ","400,317 ","488,691 ","478,403 ","675,648 ","459,962 ","342,752 ","449,889 ","495,722 ","382,788 ","342,706 ","492,451 ","861,408 ","314,659 ","438,209 ","334,431 ","466,190 ","386,813 ","300,958 ","437,260 ","378,225 ","337,001 ","348,806 ","358,914 ","506,490 ","550,434 "
Gross Profit,"69,321 ","108,776 ","52,395 ","39,856 ","51,188 ","66,414 ","90,143 ","116,701 ","15,084 ","103,817 ","127,809 ","157,482 ","96,690 ","115,371 ","73,586 ","299,259 ","173,688 ","162,716 ","52,562 ","186,364 ","151,227 ","71,696 ","101,676 ","106,695 ","105,418 ","128,352 ","189,523 ","131,820 ","30,051 ","140,019 ","100,378 ","104,126 ","128,611 ","166,824 ","110,921 ","251,585 ","106,374 ","77,259 ","77,285 ","247,375 ","98,153 ","(15,669)","133,645 ","193,868 ","163,713 ","170,132 ","129,135 ","194,530 ","117,770 ","74,004 ","69,506 ","227,173 ","133,052 ","125,003 ","115,016 ","199,781 ","83,517 ","135,096 ","127,485 ","321,559 ","71,538 ","69,361 ","97,354 ","221,274 ","58,130 ","132,187 ","164,875 ","112,683 ","49,357 ","19,767 ","69,281 ","52,158 ","53,288 ","52,692 ","220,200 ","206,841 ","247,230 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
