Period End Date,"Issuance (Retirement) of Debt, Net",Net Income/Starting Line,"Long Term Debt, Net",Non-Cash Items,Other Investing Cash Flow,Cash Taxes Paid,Long Term Debt Reduction,Financing Cash Flow Items,Net Change in Cash,Depreciation/Depletion,Sale/Maturity of Investment,Depreciation,Other Operating Cash Flow,Net Cash - Ending Balance,Free Cash Flow,"Other Investing Cash Flow Items, Total",Other Assets,Net Cash - Beginning Balance,"Lease liability Reduced, Supplemental",Accounts Receivable,Changes in Working Capital,Other Liabilities,Net Changes in Working Capital,Other Financing Cash Flow,Cash from Operating Activities,Cash from Financing Activities,Capital Expenditures,Purchase of Fixed Assets,Other Non-Cash Items,Sale of Fixed Assets,Cash Interest Paid,Cash from Investing Activities,Unusual Items,Company name,Fraud
2004-06-30,-11402.0,60301.0,-626.0,-7705.0,179.0,2720.0,-626.0,-10.0,40499.0,56369.0,0.0,56369.0,-28718.0,59899.0,51142.0,187.0,-7347.0,19400.0,-7444.0,-59562.0,-55841.0,81382.0,-55841.0,-10.0,54229.0,-11402.0,-3087.0,-3087.0,-6790.0,187.0,2116.0,-2900.0,-187.0,AKR,0
2004-12-31,47882.0,1532320.0,20866.0,-1501984.0,179.0,5126.0,-643253.0,-10.0,14550.0,113428.0,25.0,113428.0,-28718.0,33950.0,-30402.0,428.0,-20705.0,19400.0,-7444.0,-250754.0,-98420.0,78617.0,-98420.0,-10.0,47939.0,50608.0,-78341.0,-78341.0,-11762.0,403.0,26881.0,-77913.0,-1605063.0,AKR,0
2005-03-31,-114314.0,2520.0,-167628.0,-443.0,-5742.0,1230.0,-167628.0,-10.0,-10854.0,5404.0,0.0,5404.0,-28718.0,23096.0,-90814.0,-5742.0,-26572.0,33950.0,-7444.0,59022.0,-95091.0,530.0,-95091.0,-10.0,-87610.0,85686.0,-3204.0,-3204.0,-532.0,823.0,3894.0,-8946.0,89.0,AKR,0
2005-06-30,2012.0,68398.0,-182932.0,-959.0,-5742.0,2116.0,-182932.0,-10.0,4345.0,15741.0,0.0,15741.0,-28718.0,38295.0,-191941.0,-5742.0,-879.0,33950.0,-7444.0,-236946.0,-261066.0,13573.0,-261066.0,-10.0,-177886.0,202012.0,-14055.0,-14055.0,-1048.0,0.0,7217.0,-19797.0,89.0,AKR,0
2005-09-30,-44793.0,128614.0,-195323.0,9401.0,-5742.0,5117.0,-195323.0,-10.0,12409.0,26213.0,0.0,26213.0,-28718.0,46359.0,-137072.0,-5742.0,-12774.0,33950.0,-7444.0,-210757.0,-273379.0,14505.0,-273379.0,-10.0,-109151.0,155207.0,-27921.0,-27921.0,9365.0,0.0,14689.0,-33663.0,36.0,AKR,0
2005-12-31,119863.0,175271.0,-210655.0,-12022.0,-5742.0,8178.0,-210655.0,-10.0,11064.0,37280.0,0.0,37280.0,-28718.0,45014.0,-303073.0,-5742.0,-22257.0,33950.0,-7444.0,-140102.0,-231722.0,8967.0,-231722.0,-10.0,-31193.0,319863.0,-271880.0,-271880.0,-12208.0,0.0,21513.0,-277622.0,186.0,AKR,0
2006-03-31,-19042.0,3851.0,5677.0,3716.0,0.0,1062.0,-15339.0,-10.0,41613.0,11404.0,0.0,11404.0,-28718.0,87349.0,60655.0,0.0,-6709.0,45736.0,-7444.0,32832.0,69184.0,-7723.0,69184.0,-10.0,88155.0,-19042.0,-27500.0,-27500.0,3716.0,0.0,8674.0,-27500.0,0.0,AKR,0
2006-06-30,20781.0,48505.0,38445.0,3418.0,0.0,2466.0,-30685.0,-10.0,313.0,22397.0,0.0,22397.0,-28718.0,46049.0,-20677.0,209.0,-9652.0,45736.0,-7444.0,-66324.0,-18596.0,-6507.0,-18596.0,-10.0,55724.0,20781.0,-76401.0,-76401.0,3350.0,209.0,20721.0,-76192.0,68.0,AKR,0
2006-09-30,-257059.0,99327.0,23559.0,4183.0,179.0,4314.0,-76197.0,-10.0,106589.0,33380.0,0.0,33380.0,-28718.0,151603.0,-110433.0,423.0,3104.0,45014.0,-7444.0,-96777.0,-111651.0,-8010.0,-111651.0,-10.0,25239.0,216599.0,-135672.0,-135672.0,4189.0,423.0,32316.0,-135249.0,-6.0,AKR,0
2006-12-31,-290037.0,137576.0,49018.0,7340.0,-91.0,6959.0,-92103.0,-10.0,58210.0,44874.0,0.0,44874.0,-28718.0,103223.0,-126363.0,951.0,-10073.0,45014.0,-7444.0,-70150.0,-51454.0,-14505.0,-51454.0,-10.0,138336.0,183621.0,-264699.0,-264699.0,7484.0,1042.0,38444.0,-263748.0,-144.0,AKR,0
2007-03-31,360444.0,-5459.0,194172.0,18049.0,0.0,1594.0,-15965.0,-10.0,92448.0,11859.0,0.0,11859.0,-10352.0,195671.0,-238019.0,-29978.0,10962.0,103223.0,-7444.0,93462.0,-82895.0,502.0,-72543.0,-10.0,-58446.0,360444.0,-179573.0,-179573.0,17948.0,22.0,8759.0,-209551.0,101.0,AKR,0
2007-06-30,748925.0,3719.0,580273.0,20245.0,462.0,21336.0,-31954.0,-10.0,-53687.0,24359.0,0.0,24359.0,-30477.0,49536.0,-723622.0,26.0,12629.0,103223.0,-7444.0,104636.0,-157908.0,29521.0,-127431.0,-10.0,-109389.0,669911.0,-614233.0,-613984.0,20229.0,22.0,9141.0,-614207.0,16.0,AKR,0
2007-09-30,861876.0,84349.0,619650.0,63159.0,845.0,37099.0,-47967.0,-10.0,-26534.0,37785.0,0.0,37785.0,-84222.0,76689.0,-810856.0,1459.0,-8066.0,103223.0,-7444.0,-128944.0,-302332.0,29939.0,-218110.0,-10.0,-116714.0,782862.0,-694142.0,-694142.0,63395.0,722.0,47123.0,-692683.0,-236.0,AKR,0
2007-12-31,678895.0,93756.0,629338.0,83685.0,1044.0,37194.0,-61019.0,-10.0,-34632.0,56797.0,0.0,56797.0,-105801.0,68591.0,-636308.0,1795.0,298.0,103223.0,-7444.0,48063.0,-70564.0,30989.0,35237.0,-10.0,164116.0,599881.0,-800424.0,-798461.0,83871.0,859.0,68607.0,-798629.0,-186.0,AKR,0
2008-03-31,161005.0,-4493.0,-81205.0,28671.0,26.0,1315.0,-81205.0,-10.0,15502.0,23275.0,0.0,23275.0,-16767.0,83007.0,-145723.0,222.0,-12880.0,67505.0,-7444.0,-125385.0,-262989.0,9012.0,-246222.0,-10.0,-214476.0,161005.0,68753.0,68783.0,28858.0,196.0,15452.0,68975.0,-187.0,AKR,0
2008-06-30,158481.0,-22641.0,-82940.0,43488.0,263.0,37515.0,-82940.0,-10.0,28417.0,50919.0,0.0,50919.0,-94100.0,95922.0,-43663.0,-7384.0,-21399.0,67505.0,-7444.0,55352.0,-180274.0,18379.0,-86174.0,-10.0,-106555.0,79464.0,62892.0,63326.0,43701.0,357.0,56585.0,55508.0,-213.0,AKR,0
2008-09-30,379639.0,1720.0,-84349.0,64483.0,271.0,49880.0,-84349.0,-10.0,-2921.0,79370.0,0.0,79370.0,-128918.0,64584.0,-302122.0,-1422.0,-12547.0,67505.0,-7444.0,-177521.0,-406584.0,35669.0,-277666.0,-10.0,-258248.0,300622.0,-43874.0,-43367.0,65670.0,1343.0,79038.0,-45296.0,-1187.0,AKR,0
2008-12-31,199528.0,2725.0,-83167.0,85510.0,414.0,53934.0,-88027.0,-10.0,-1211.0,112698.0,0.0,112698.0,-155031.0,67475.0,-120836.0,-888.0,-43625.0,68686.0,-7444.0,-31434.0,-269574.0,-10383.0,-114543.0,-10.0,-65103.0,120511.0,-55733.0,-50428.0,84191.0,1808.0,101097.0,-56621.0,1319.0,AKR,0
2009-03-31,-46430.0,-8716.0,-2305.0,41789.0,0.0,2333.0,-2305.0,-10.0,-47315.0,28641.0,0.0,28641.0,-25179.0,20022.0,-1291.0,405.0,61909.0,67337.0,-7444.0,85666.0,-44802.0,-13195.0,-19623.0,-10.0,17781.0,-46430.0,-19072.0,-18283.0,41660.0,471.0,22846.0,-18667.0,129.0,AKR,0
