Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Jun-2004 ,0.0,0.0,9.6,0.0,0.0,0.0,48.5,0.0,1.0,8.6,1.17,0.0,8.6,0.0,0.0,0.0,8.6,0.0,0.0,18.9,0.0,9.5,0.0,AKR,0
Dec-2004 ,0.89,0.0,-7.6,0.0,2.45,0.55,35.8,0.0,1.0,-9.7,0.0,4.72,-9.7,0.0,40.5,0.0,-9.7,0.0,0.0,-6.0,4.72,-7.9,0.0,AKR,0
Mar-2005 ,0.0,0.0,1.6,0.0,0.0,0.0,17.5,0.0,1.0,1.1,0.92,0.0,1.2,0.0,0.0,0.0,1.2,7.6,0.0,5.3,0.0,3.0,0.0,AKR,0
Jun-2005 ,1.42,0.0,14.3,0.0,0.88,0.79,31.5,0.0,1.0,16.1,1.0,2.39,16.0,0.0,9.4,0.0,16.0,-0.3,0.0,19.8,2.39,17.2,0.0,AKR,0
Sep-2005 ,0.0,0.0,10.2,0.0,0.0,0.0,30.5,0.0,1.0,14.2,1.0,0.0,14.2,0.0,0.0,0.0,14.2,0.0,0.0,18.2,0.0,15.7,0.0,AKR,0
Dec-2005 ,1.14,0.0,8.5,0.0,0.92,0.58,22.0,0.0,1.0,10.5,1.0,2.23,10.5,0.0,5.2,0.0,10.5,0.0,0.0,14.4,2.23,11.9,0.0,AKR,0
Mar-2006 ,1.05,0.6,1.7,0.6,0.89,0.53,19.5,0.6,1.0,1.1,1.0,2.37,1.1,174.4,5.7,23.92,1.1,0.0,0.3,6.0,2.37,2.7,0.24,AKR,0
Jun-2006 ,1.12,6.9,7.6,6.9,0.89,0.62,25.1,6.9,1.0,10.5,1.0,2.29,10.5,140.6,7.9,8.11,10.5,0.0,3.0,14.6,2.29,12.1,0.28,AKR,0
Sep-2006 ,2.22,6.5,11.9,5.5,0.27,1.27,31.5,5.5,1.0,11.4,0.83,1.5,13.7,164.4,7.9,4.62,13.7,16.6,3.7,17.4,1.5,14.9,0.27,AKR,0
Dec-2006 ,1.66,4.8,15.5,-3.4,0.24,0.93,28.5,3.2,-1.07,8.4,0.66,1.59,12.8,166.6,10.1,2.54,12.8,34.5,3.1,15.6,1.59,13.7,0.24,AKR,0
Mar-2007 ,1.49,-0.5,0.0,-0.6,0.57,0.72,25.3,-0.6,0.0,-3.1,0.0,1.92,-2.4,331.8,15.7,26.22,-2.4,0.0,-0.3,5.1,1.92,0.0,0.11,AKR,0
Jun-2007 ,1.21,0.5,1.8,-0.1,0.91,0.45,25.7,-0.1,0.0,-0.2,-0.12,2.29,1.8,269.4,27.6,28.46,1.8,111.6,0.2,7.9,2.29,3.9,0.13,AKR,0
Sep-2007 ,1.19,7.1,7.2,4.7,0.96,0.69,29.0,4.7,1.0,9.0,0.66,2.3,13.6,153.6,24.6,9.38,13.6,34.1,3.1,17.9,2.3,15.8,0.23,AKR,0
Dec-2007 ,1.09,0.8,2.4,-6.5,0.81,0.58,17.1,0.0,-151.54,0.1,0.05,2.11,1.9,150.3,23.8,26.87,1.9,94.8,0.4,7.1,2.11,3.3,0.2,AKR,0
Mar-2008 ,1.01,-0.4,0.7,-1.0,1.03,0.47,18.7,-1.0,0.0,-2.7,0.0,2.48,-1.0,169.3,18.2,27.74,-1.0,0.0,-0.2,8.5,2.48,2.6,0.16,AKR,0
Jun-2008 ,1.25,-1.6,0.3,-2.4,1.13,0.51,13.7,-2.4,0.0,-4.9,0.0,2.56,-3.3,131.8,33.0,28.77,-3.3,0.0,-0.6,7.1,2.56,1.8,0.19,AKR,0
Sep-2008 ,1.19,2.2,1.9,0.4,1.33,0.56,18.1,0.4,1.0,0.6,0.16,2.77,3.6,121.5,28.8,15.51,3.6,84.1,0.8,11.9,2.77,7.4,0.23,AKR,0
Dec-2008 ,1.2,0.1,1.1,-8.4,1.18,0.55,17.7,-1.1,0.0,-1.8,-12.2,2.57,0.1,126.9,30.1,33.03,0.1,1320.0,0.0,5.7,2.57,4.1,0.24,AKR,0
Mar-2009 ,1.15,-0.8,0.8,-1.8,1.16,0.38,25.1,-1.8,0.0,-4.9,0.0,2.47,-2.2,212.2,28.6,19.34,-2.2,0.0,-0.3,15.6,2.47,8.2,0.15,AKR,0
Jun-2009 ,0.96,-6.5,-0.5,-6.9,1.44,0.3,12.6,-6.9,0.0,-23.4,0.0,2.76,-22.0,270.0,27.0,159.0,-22.0,0.0,-2.5,2.7,2.76,-7.8,0.11,AKR,0
Sep-2009 ,0.57,-7.5,-0.6,-8.3,1.44,0.19,11.0,-8.3,0.0,-20.9,0.0,2.88,-18.9,206.5,1.1,202.34,-18.9,0.0,-2.7,1.7,2.88,-7.1,0.14,AKR,0
Dec-2009 ,0.48,-11.0,-1.2,-10.9,1.7,0.18,4.9,-10.9,0.0,-20.9,0.0,3.03,-21.2,141.6,0.9,0.0,-21.2,0.0,-3.7,-4.4,3.03,-11.7,0.18,AKR,0
Mar-2010 ,0.52,-6.5,-0.1,-6.7,1.73,0.22,15.4,-6.7,0.0,-13.4,0.0,3.47,-13.0,150.8,0.8,44.74,-13.0,0.0,-2.0,7.4,3.47,-1.3,0.15,AKR,0
